epoch,train_nll,train_acc,train_mae,val_nll,val_acc,val_mae
1,5.482884605344987,0.7361033922869877,0.7629543436093584,4.921113014221191,0.8513802587348477,0.9798488113731283
2,5.043571664234092,0.8495864526463761,1.0376017692907036,4.795951843261719,0.8556076194356728,1.0427206551772437
3,4.937930842983055,0.8520492115902231,0.9775486507268408,4.770074367523193,0.8560150758887644,0.9311563725552613
4,4.919368407485887,0.8528664988503493,0.9699065466071681,4.7674736976623535,0.8562697361719466,1.003362908411429
5,4.8991746226911435,0.8533023853890832,0.9735616723263809,4.730018138885498,0.8562188041153102,0.9406039706313029
6,4.887045303510256,0.8534985343315135,0.9980629653429337,4.731973648071289,0.8560150758887644,1.0264836746842212
7,4.872537725079618,0.8522998463499951,0.9987055787347303,4.709963798522949,0.8555057553223999,0.9798445338761842
8,4.861266863046411,0.8525722754367038,0.9962025726500267,4.708812236785889,0.8553529591524905,0.952186338112458
9,4.853442290513928,0.8530408534658428,0.9718509879300293,4.704985618591309,0.8557604156055821,1.0012927988438423
10,4.843871866425085,0.853106236446653,1.0017580828007344,4.6922101974487305,0.8557094835489457,0.9663317220765
11,4.835406130736951,0.8528773960138176,0.9836933526281234,4.69378662109375,0.8558622797188551,0.9816286480085565
12,4.830599909569606,0.8526158640905772,0.9763625200235378,4.68590784072876,0.8557094835489457,0.9852406460094734
13,4.822009700385974,0.853106236446653,0.9812390858097138,4.679512977600098,0.8559641438321279,0.9760295039854334
14,4.818185677263844,0.8536293002931337,0.985853310898798,4.682944297790527,0.8559132117754915,0.9664282144494245
15,4.815249655151566,0.8537600662547539,0.972565326792311,4.68295431137085,0.8560660079454009,0.9627342476698584
