bin,pred_quantile,empirical_quantile
1,0.09378663450479507,0.0
2,0.18253807723522186,0.0
3,0.22906267642974854,0.0
4,0.2934994697570801,0.000244140625
5,0.4212303161621094,0.0009765625
6,0.5999872088432312,0.005719782784581184
7,0.8050779700279236,0.07503664493560791
8,0.9909076690673828,0.4345703125
9,1.2434749603271484,1.5727485418319702
