epoch,train_nll,train_acc,train_mae,val_nll,val_acc,val_mae
1,0.3311632493907052,0.874399032515604,0.09715059760966657,0.26134073047364786,0.8999854382207637,0.0859197599417995
2,0.267751638709112,0.8948766404119571,0.08668944172738695,0.24892636153630215,0.901700886847872,0.08228867420785364
3,0.2601902682211932,0.8950494054826653,0.08377811982525327,0.24687216366041767,0.9019814674721817,0.0736905169839514
4,0.2569089551781487,0.8959246470303054,0.0827312501810537,0.24209134934665816,0.9033062342173399,0.07927288989330389
5,0.25343118122281166,0.897414079820507,0.08233199141484068,0.2403946493625856,0.9048618584381959,0.08526959231485452
6,0.25193169361897094,0.8983951114334706,0.08214619215907962,0.23824285583744514,0.9058598730639049,0.07653203832833438
7,0.25110348553733153,0.8990268075069848,0.08165769676253502,0.23720605887160087,0.9059415610937672,0.0788971343206486
8,0.24929180165030076,0.8996569814212857,0.08132829190237936,0.2364511652524051,0.9067051665903061,0.07619802942472759
9,0.2483276265111422,0.8999484749106302,0.08110713705210584,0.2357600349050736,0.9067051665903061,0.07820007463605541
10,0.24742268543562015,0.9005459224018455,0.08100514597435504,0.23645123282181124,0.9061795218764096,0.0819749568127262
11,0.2469356347073468,0.9004857971129206,0.08085624240302823,0.235159931913603,0.9066092719465547,0.07833747576135242
12,0.24665109524972392,0.900683677810648,0.08107249408712497,0.23545119729620625,0.9065453421840538,0.07547694752143423
13,0.2463481670994836,0.9007864235575449,0.0804672443221737,0.23421523671968594,0.9066305818673883,0.08195401844548456
14,0.2464400305057229,0.9007339090646864,0.08085868961957103,0.23444944551575006,0.9063784144708569,0.07694754233140856
15,0.24585917609293723,0.900773485204232,0.08144219603137537,0.23436561968878256,0.9066625467486388,0.07727140959951445
