bin,pred_quantile,empirical_quantile
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.025420792400836945,0.0
8,0.23553045094013214,0.0625
9,0.3846111595630646,0.3115234375
