iteration,mu,alpha,beta
0,1.11,0.555,1
1,0.5861525216,0.4030691869,1.411044144
2,0.7146538683,0.4571800872,1.265030377
3,0.6642870628,0.4776632393,1.309018991
4,0.6876685436,0.4925122657,1.288739574
5,0.6703329361,0.5029599594,1.340512073
6,0.6838597966,0.5120360534,1.333967092
7,0.6714967397,0.5289776223,1.433165089
8,0.689849905,0.5393526119,1.42021425
9,0.6826734452,0.543438769,1.471067166
10,0.693476884,0.5503242154,1.466676089
11,0.6864316252,0.5621464825,1.552042295
12,0.7005229285,0.5703273977,1.54161306
13,0.6941402065,0.5740537966,1.581477875
14,0.7025156559,0.5794274021,1.577794562
15,0.6963837332,0.5885958621,1.64418369
16,0.7074012989,0.5949083947,1.63555383
17,0.7021953164,0.5974242754,1.666169209
18,0.7087882251,0.6015680866,1.662774366
19,0.7061422896,0.6047342179,1.687505372
20,0.7142528846,0.6104455151,1.686311538
21,0.7095588979,0.609242741,1.697150158
22,0.7141383442,0.6150623313,1.709024589
23,0.7084451469,0.6141259351,1.724844522
24,0.7128464531,0.6169420444,1.722798974
25,0.7093693788,0.6216088051,1.75810029
26,0.7152438163,0.6249305066,1.753173154
27,0.7137566429,0.6254826808,1.761124179
28,0.7166005445,0.627953411,1.76291944
29,0.7136211952,0.6276969458,1.772331204
30,0.7183757103,0.6309234979,1.770980471
31,0.7155653984,0.6301369085,1.777205394
32,0.7181602765,0.6332695077,1.783123772
33,0.7147543593,0.6325804914,1.791999298
34,0.7173278427,0.6341697832,1.790497479
35,0.716193519,0.6352593332,1.799877327
36,0.7193933366,0.6374421698,1.799014938
37,0.7175039821,0.6369198172,1.803246556
38,0.7192476152,0.6390459474,1.80733035
39,0.7169629292,0.6385942732,1.813343766
40,0.7186907355,0.6396645461,1.812346532
41,0.7179257098,0.6404084737,1.818722032
42,0.7200810072,0.6418813469,1.818148602
43,0.7188081653,0.6415309248,1.821013174
44,0.7199802812,0.6429656904,1.823785918
45,0.718442987,0.6426637954,1.827845889
46,0.7196053265,0.6433841053,1.827174449
47,0.7190874974,0.6438849561,1.831479114
48,0.7205404674,0.6448770443,1.831086275
49,0.7196816103,0.6446401984,1.833020235
50,0.7204699419,0.6456046088,1.834882702
51,0.7194332715,0.6454000354,1.837617496
52,0.720216347,0.6458846542,1.83716102
53,0.7198649687,0.6462186652,1.840054622
54,0.720845126,0.6468861819,1.839780198
55,0.7202649413,0.6467252831,1.841083624
56,0.7207953694,0.6473718518,1.842325615
57,0.7200952291,0.6472319619,1.844165026
58,0.7206233366,0.647557957,1.843852716
59,0.7203845138,0.6477792662,1.845792106
60,0.7210460437,0.6482280982,1.845598228
61,0.7206537965,0.6481184306,1.846475731
62,0.7210108095,0.6485511748,1.847299883
63,0.7207740982,0.6485030715,1.847917784
64,0.7212536741,0.6491883264,1.849531971
65,0.7209106572,0.6490770703,1.850224928
66,0.7212020691,0.6493861904,1.850682965
67,0.7209939286,0.649330324,1.851160291
68,0.7211863448,0.6495702749,1.851637451
69,0.7209355835,0.6495234036,1.852312391
70,0.7211257442,0.6496420871,1.852206104
71,0.7210411682,0.6497275409,1.852927691
72,0.7212798629,0.6498915663,1.852867678
73,0.7211389889,0.6498532892,1.853188525
74,0.7212685232,0.6500135345,1.853503373
75,0.7210987515,0.6499809641,1.853956283
76,0.7212272016,0.6500607777,1.853882731
77,0.7211695494,0.6501168898,1.854364205
78,0.7213307697,0.650227058,1.854320628
79,0.7212354058,0.6502008169,1.854536253
80,0.7213226264,0.6503077867,1.854743726
81,0.7212076594,0.6502851447,1.855047595
82,0.7212944424,0.650338821,1.854996686
83,0.7212551398,0.6503756137,1.855317809
84,0.7213640443,0.6504496064,1.855286284
85,0.7212994802,0.6504316137,1.85543118
86,0.721358216,0.6505030049,1.855567756
87,0.721319282,0.6504951365,1.855669683
88,0.721398128,0.6506080805,1.855936491
89,0.7213417492,0.6505898175,1.856050584
90,0.7213896096,0.6506406705,1.856126177
91,0.7213554254,0.6506315124,1.8562047
92,0.721387014,0.6506709646,1.856283317
93,0.7213458427,0.6506632929,1.856394278
94,0.7213770656,0.6506827856,1.85637684
95,0.7213631592,0.6506968349,1.856495498
96,0.7214023756,0.6507237825,1.856485619
97,0.7213792267,0.6507174926,1.856538364
98,0.7214004975,0.6507438102,1.856590089
99,0.7213726047,0.6507384566,1.856664502
100,0.7213937049,0.6507515645,1.856652399
101,0.7213842185,0.6507607658,1.856731478
102,0.7214107122,0.6507788604,1.856724264
103,0.7213950361,0.6507745419,1.856759695
104,0.7214093606,0.6507920976,1.856793711
105,0.7213904635,0.6507883664,1.856843618
106,0.7214047236,0.6507971816,1.856835226
107,0.7213982535,0.6508032041,1.856887926
108,0.7214072031,0.6508092795,1.856885309
109,0.7214005394,0.6508217268,1.85697005
110,0.721412685,0.6508287701,1.856960635
111,0.7214065502,0.6508318078,1.856997566
112,0.721414139,0.650836566,1.856993426
113,0.7214107854,0.6508400721,1.857022618
114,0.7214203208,0.6508466585,1.857020382
115,0.7214147035,0.6508451504,1.857033271
116,0.721419889,0.6508516181,1.857046133
117,0.7214131233,0.6508503515,1.85706434
118,0.721418252,0.6508535509,1.857061463
119,0.7214159636,0.6508558471,1.857080913
120,0.7214224057,0.6508602691,1.857079267
121,0.7214186014,0.650859233,1.857087924
122,0.7214220934,0.6508635467,1.857096382
123,0.7214175092,0.6508626625,1.857108591
124,0.7214209755,0.650864814,1.857106594
125,0.7214194142,0.650866317,1.857119553
126,0.7214237665,0.6508692862,1.857118352
127,0.7214211902,0.6508685748,1.857124167
128,0.7214235419,0.650871452,1.857129727
129,0.7214204359,0.6508708356,1.857137915
130,0.7214227787,0.6508722825,1.85713653
131,0.7214217138,0.650873266,1.857145166
132,0.7214231841,0.6508742629,1.85714473
133,0.7214220861,0.6508762974,1.857158613
134,0.7214240817,0.6508774537,1.857157061
135,0.7214230724,0.6508779487,1.857163114
136,0.7214243193,0.6508787297,1.85716243
137,0.7214237672,0.6508793022,1.857167212
138,0.7214253338,0.6508803829,1.857166838
139,0.7214244104,0.6508801343,1.857168954
140,0.7214252618,0.6508811941,1.857171055
141,0.7214241496,0.6508809846,1.857174042
142,0.7214249923,0.6508815098,1.857173567
