iteration,mu,alpha,beta
0,1.045,0.5225,1
1,0.600693696,0.3886798504,1.350171297
2,0.7078297365,0.4133121645,1.258046317
3,0.7262641003,0.3781980626,1.330896529
4,0.7446806702,0.3821440422,1.315877607
5,0.7399897267,0.3818871974,1.315865848
6,0.7419125975,0.3824804329,1.313154227
7,0.7374364363,0.3830687221,1.306475232
8,0.7393094068,0.3833544099,1.304730674
9,0.7384118366,0.3828443756,1.303789211
10,0.7390819045,0.3829024333,1.302947059
11,0.7383183144,0.3821698536,1.300648148
12,0.7388809906,0.3822223232,1.299951771
13,0.7382378033,0.3816352129,1.298104867
14,0.7387109958,0.3816814275,1.2975306
15,0.7381763787,0.3812054945,1.296058568
16,0.7385740845,0.3812460047,1.295584781
17,0.7381295802,0.3808601446,1.29441134
18,0.7384636974,0.3808955051,1.294020292
19,0.7380940689,0.3805825773,1.29308494
20,0.7383746702,0.3806133332,1.292762051
21,0.7380672558,0.3803594782,1.292016599
22,0.7383028509,0.380386148,1.291749883
23,0.7380471333,0.3801801545,1.291155918
24,0.7382449,0.38020322,1.290935515
25,0.7380321444,0.380036016,1.2904624
26,0.7381981296,0.3800559185,1.290280198
27,0.7380210823,0.3799201603,1.289903488
28,0.7381603753,0.3799372985,1.289752807
29,0.7380130126,0.3798270401,1.28945299
30,0.7381298937,0.3798417712,1.289328332
31,0.7380685506,0.3797969813,1.289209076
32,0.738151295,0.3797984271,1.289076088
33,0.7380406794,0.3797623453,1.289083708
34,0.738102923,0.3797678335,1.289005595
35,0.7380311302,0.379700427,1.288791363
36,0.738083389,0.3797052681,1.288726953
37,0.7380237577,0.3796506297,1.288555766
38,0.7380676283,0.3796548811,1.288502635
39,0.7380180849,0.3796105824,1.288365885
40,0.7380549101,0.3796143015,1.288322041
41,0.7380137372,0.3795783772,1.28821284
42,0.7380446459,0.3795816197,1.288176645
43,0.7380104205,0.3795524797,1.288089475
44,0.7380363612,0.3795552982,1.288059584
45,0.7380079039,0.3795316554,1.287990029
46,0.7380296737,0.3795340989,1.287965334
47,0.7380060063,0.3795149115,1.287909859
48,0.7380242748,0.3795170248,1.28788945
49,0.7380045863,0.3795014492,1.287845225
50,0.7380199157,0.379503273,1.287828351
51,0.7380035332,0.379490626,1.287793113
52,0.7380163958,0.3794921969,1.287779158
53,0.738002761,0.3794819251,1.287751095
54,0.7380135533,0.3794832758,1.287739549
55,0.7380022027,0.3794749308,1.287717214
56,0.7380112574,0.3794760904,1.287707658
57,0.7380065318,0.3794726996,1.287698775
58,0.7380129472,0.3794728459,1.287688643
59,0.7380043957,0.3794700865,1.287689381
60,0.7380092177,0.3794705268,1.287683409
61,0.7380036993,0.3794654328,1.287667388
62,0.7380077468,0.3794658198,1.287662463
63,0.7380031626,0.37946169,1.287649661
64,0.7380065598,0.3794620288,1.287645597
65,0.7380027506,0.3794586799,1.287635371
66,0.7380056017,0.3794589755,1.287632016
67,0.7380024356,0.3794562591,1.287623852
68,0.7380048283,0.3794565163,1.287621081
69,0.7380021961,0.3794543125,1.287614565
70,0.738004204,0.3794545356,1.287612276
71,0.7380020151,0.3794527472,1.287607078
72,0.7380037,0.3794529403,1.287605187
73,0.7380018792,0.3794514887,1.287601041
74,0.7380032931,0.3794516554,1.287599478
75,0.7380017782,0.3794504768,1.287596174
76,0.7380029645,0.3794506205,1.287594882
77,0.7380017038,0.3794496633,1.28759225
78,0.7380026992,0.3794497869,1.287591181
79,0.7380016497,0.3794490093,1.287589086
80,0.7380024848,0.3794491155,1.287588201
81,0.7380020479,0.3794487996,1.287587367
82,0.7380026394,0.3794488117,1.287586426
83,0.73800185,0.3794485557,1.287586488
84,0.7380022947,0.3794485957,1.287585934
85,0.7380017841,0.3794481207,1.287584434
86,0.7380021574,0.3794481559,1.287583977
