iteration,mu,alpha,beta
0,1.105,0.5525,1
1,0.5802094567,0.4078799052,1.377257043
2,0.693439827,0.465755175,1.196297819
3,0.6030080504,0.4835585019,1.156774324
4,0.6243361908,0.4992142596,1.115540248
5,0.6172506249,0.4963597228,1.119126425
6,0.6147028223,0.4999080364,1.098299833
7,0.6097781918,0.4963642394,1.103406277
8,0.6111386295,0.4968874065,1.096262958
9,0.6092451499,0.495300813,1.097207644
10,0.6097763158,0.4944826516,1.088695467
11,0.6081057434,0.4929969015,1.089971936
12,0.6090949245,0.4924009795,1.083159128
13,0.6075235842,0.4910419647,1.084620075
14,0.60807108,0.4908967603,1.081772743
15,0.6068470416,0.4895767385,1.08193097
16,0.607570253,0.489858191,1.079973257
17,0.6065393008,0.4883222048,1.078528715
18,0.6072447121,0.4886384643,1.076784412
19,0.60630784,0.4873489456,1.075884885
20,0.6069934974,0.4876888693,1.074313209
21,0.6065628005,0.4871415525,1.074069044
22,0.6070132362,0.4872234573,1.072516035
23,0.6065928819,0.4868307962,1.072799718
24,0.6068455249,0.4866100103,1.070945512
25,0.6064458889,0.4862546248,1.071280618
26,0.6065794687,0.4861928689,1.070503162
27,0.6062651656,0.4858373123,1.070485804
28,0.6064459922,0.4858982358,1.069966522
29,0.6061749563,0.4854702689,1.069503928
30,0.6063528181,0.4855430989,1.069041101
31,0.6061057504,0.4851849383,1.068737399
32,0.6062799956,0.4852661506,1.068320525
33,0.6061663919,0.485114658,1.068229476
34,0.6062798109,0.4851258459,1.067804764
35,0.6061703899,0.4850203597,1.06786591
36,0.6062310511,0.4849463455,1.06734426
37,0.606127184,0.4848513581,1.067421188
38,0.6061925204,0.4848060212,1.066985983
39,0.6060936112,0.484719648,1.067074216
40,0.6061277942,0.4847079449,1.066890762
41,0.6060504548,0.48462286,1.066895125
42,0.606095859,0.4846395172,1.066770014
43,0.6060298155,0.4845387198,1.066670134
44,0.6060744803,0.4845580606,1.06655796
45,0.6060139743,0.4844732561,1.066494225
46,0.6060577423,0.4844944709,1.066392641
47,0.6060298023,0.4844584109,1.066374622
48,0.6060585951,0.484462849,1.066272771
49,0.6060314167,0.4844372181,1.066290005
50,0.6060473306,0.4844215492,1.066167023
51,0.6060214941,0.4843983714,1.066187774
52,0.606038414,0.4843892379,1.066084717
53,0.6060137829,0.4843680828,1.066107961
54,0.6060225581,0.4843660123,1.066064325
55,0.6060034087,0.4843455057,1.066067455
56,0.6060148625,0.4843500271,1.066037085
57,0.6059986818,0.4843261538,1.06601564
58,0.6060099355,0.4843312722,1.06598829
59,0.6060024966,0.4843211847,1.065981699
60,0.6060097951,0.4843216706,1.065953535
61,0.6060026646,0.4843147182,1.065957214
62,0.6060064949,0.4843094978,1.065922285
63,0.6059997297,0.4843032479,1.065927051
64,0.6060038866,0.4842999763,1.065897953
65,0.6059974475,0.4842943028,1.065903501
66,0.6059996333,0.4842934135,1.065891258
67,0.6059945815,0.4842877727,1.065891233
68,0.605997516,0.4842888005,1.065882973
69,0.6059931734,0.4842820505,1.065875956
70,0.6059960645,0.4842832654,1.065868562
71,0.6059920911,0.4842775967,1.065864009
72,0.6059949277,0.4842789433,1.065857323
73,0.6059930952,0.4842765377,1.065855992
74,0.605994953,0.4842767707,1.065849225
75,0.6059931792,0.4842750789,1.065850279
76,0.605994189,0.4842739635,1.06584203
77,0.6059925038,0.4842724366,1.065843328
78,0.6059935845,0.4842717671,1.065836429
79,0.6059919788,0.484270376,1.0658379
80,0.6059925418,0.4842702119,1.065834986
81,0.6059912895,0.4842688515,1.065835119
82,0.6059920312,0.4842691333,1.065833112
83,0.6059909668,0.4842675342,1.065831596
84,0.6059916963,0.4842678576,1.065829792
85,0.6059907192,0.4842665091,1.06582884
86,0.6059914339,0.4842668613,1.065827203
87,0.6059909819,0.4842662866,1.065826943
88,0.6059914542,0.4842663706,1.065825314
89,0.6059910126,0.4842659582,1.065825609
90,0.6059912773,0.4842657231,1.065823658
91,0.6059908572,0.4842653495,1.065824007
92,0.6059909971,0.4842652829,1.065823187
93,0.6059906665,0.4842649081,1.065823165
94,0.6059908564,0.4842649713,1.065822618
95,0.6059905704,0.4842645185,1.065822126
96,0.6059907577,0.4842645947,1.065821638
97,0.6059904965,0.4842642152,1.065821313
98,0.6059906804,0.4842643006,1.065820873
