iteration,mu,alpha,beta
0,1.21,0.605,1
1,0.5724535067,0.4074225769,1.511416647
2,0.7601706353,0.499078147,1.224681472
3,0.6662068265,0.497453004,1.236006809
4,0.6907015066,0.5243477866,1.169483791
5,0.6478423577,0.519917858,1.175787352
6,0.6582901615,0.5338073963,1.140193841
7,0.6355342012,0.5279672003,1.143984873
8,0.6420036298,0.5359050241,1.121229729
9,0.6285821897,0.5299503645,1.123162695
10,0.6332076054,0.5347776475,1.107145495
11,0.6246162283,0.5293017361,1.107708146
12,0.628072845,0.5323479749,1.09578476
13,0.6222022356,0.5275427344,1.09537005
14,0.6248129875,0.5294996066,1.086175891
15,0.6205900537,0.5253727665,1.085091222
16,0.6225621898,0.5266307928,1.077829108
17,0.6194018525,0.5231177931,1.076308251
18,0.6208870491,0.523912243,1.070470055
19,0.6184497155,0.5209281379,1.068686441
20,0.619563565,0.5214082072,1.063927882
21,0.6157232207,0.5163435161,1.060090185
22,0.6183364378,0.5181275397,1.053234018
23,0.6168641594,0.5164661103,1.053691609
24,0.6173915175,0.5161176173,1.048619141
25,0.6150291309,0.5133673231,1.048962424
26,0.6165700984,0.5143241072,1.044456435
27,0.6146717176,0.5120403078,1.044376294
28,0.6158533252,0.5127277377,1.040692204
29,0.6143174933,0.5108180079,1.040324744
30,0.6152245498,0.5113043573,1.037291366
31,0.6139742433,0.5096972016,1.036734708
32,0.6146705909,0.5100333551,1.034220803
33,0.6136467656,0.5086728908,1.033545752
34,0.6141808299,0.508896999,1.031449706
35,0.613337832,0.5077391386,1.030707246
36,0.6137465776,0.5078799354,1.028949686
37,0.6123518822,0.5059011996,1.027403544
38,0.6133229129,0.5065527105,1.024831324
39,0.6127620485,0.5059101564,1.024984752
40,0.6129639293,0.5057609943,1.023019289
41,0.6120467586,0.5046832802,1.023133313
42,0.6126469933,0.5050534582,1.021378685
43,0.6118959756,0.5041468208,1.021349729
44,0.6123669099,0.5044212633,1.019892637
45,0.6117497101,0.5036550852,1.019762774
46,0.6121188993,0.503855692,1.018547572
47,0.6116098511,0.5032054249,1.018348504
48,0.6118988681,0.5033492097,1.017330818
49,0.6114775265,0.502795057,1.01708637
50,0.611703314,0.5028952559,1.016230649
51,0.6113533367,0.502421168,1.015958636
52,0.6115292353,0.5024880863,1.01523627
53,0.6112375154,0.5020809873,1.01494992
54,0.6115106171,0.502164315,1.01372603
55,0.6111300125,0.5017716168,1.014047263
56,0.6113414888,0.5018173984,1.013005276
57,0.6110306425,0.5014908653,1.013238256
58,0.6111934209,0.5015085488,1.012348167
59,0.610939128,0.5012362518,1.012512725
60,0.6110634859,0.5012332214,1.011749886
61,0.6108550936,0.5010054835,1.011861684
62,0.6109492032,0.5009874857,1.011205792
63,0.6107781114,0.5007964428,1.011277179
64,0.6108484693,0.5007679279,1.010711468
65,0.6107077292,0.5006071778,1.010752164
66,0.6107594972,0.5005715724,1.010262749
67,0.6105275027,0.5003002504,1.010298022
68,0.610680744,0.5003957778,1.009855812
69,0.6104892088,0.5001661468,1.009856718
70,0.6106109366,0.5002383253,1.0094869
71,0.6104524337,0.5000433463,1.009462863
72,0.610548961,0.5000971963,1.009152665
73,0.6104174755,0.4999311064,1.009110982
74,0.6104938572,0.4999706157,1.008850008
75,0.6103845108,0.499828684,1.008796302
76,0.6104447968,0.4998570182,1.008576072
77,0.6103536267,0.4997353507,1.008514647
78,0.6104010624,0.4997550197,1.00832823
79,0.610324845,0.4996504025,1.008262358
80,0.6103620317,0.4996633939,1.008104076
81,0.6102342557,0.4994829574,1.007968361
82,0.6103242344,0.4995438223,1.007732714
83,0.6102719961,0.4994843978,1.007749038
84,0.6102916623,0.4994720269,1.007569063
85,0.6102485434,0.4994218292,1.007576794
86,0.6102771014,0.4993936505,1.007264369
87,0.6101986449,0.4993156388,1.007345122
88,0.6102229923,0.4993253505,1.007247533
89,0.6101831903,0.499270328,1.007211189
90,0.610221366,0.4992829697,1.007045255
91,0.6101688705,0.4992291374,1.007091099
92,0.6101986668,0.4992366055,1.006949581
93,0.6101556472,0.4991917312,1.006983347
94,0.6101787708,0.4991952834,1.006862297
95,0.6101434724,0.4991577868,1.006886617
96,0.6101612932,0.4991584143,1.006782772
97,0.6101322911,0.4991270042,1.006799742
98,0.6101459079,0.4991254851,1.006710398
99,0.6101220443,0.4990991054,1.006721686
100,0.6101323376,0.4990960476,1.006644598
101,0.6101126714,0.4990738333,1.006651527
102,0.610120346,0.4990697094,1.006584827
103,0.6101041118,0.4990509515,1.006588444
104,0.6101153504,0.499041301,1.00647271
105,0.6100856906,0.4990119453,1.006503907
106,0.6100950127,0.499015847,1.006467467
107,0.6100800801,0.4989953941,1.00645479
108,0.6100874047,0.4989979932,1.006423825
109,0.6100623487,0.4989626978,1.006397669
110,0.6100800708,0.4989747198,1.006351431
111,0.6100698001,0.4989630621,1.006354768
112,0.610073713,0.4989607184,1.006319559
113,0.6100652301,0.4989508672,1.006321202
114,0.6100709351,0.4989454907,1.006260067
115,0.610055471,0.498930139,1.0062761
116,0.6100602923,0.4989320954,1.006256946
117,0.6100524636,0.4989213082,1.00624998
118,0.6100562492,0.4989225946,1.006233692
119,0.6100431042,0.4989039666,1.006219416
120,0.6100523073,0.4989101696,1.006195205
121,0.6100469389,0.4989040473,1.006196804
122,0.6100489351,0.4989027246,1.006178207
123,0.6100400631,0.4988923707,1.00617967
124,0.6100459474,0.4988960557,1.006162784
125,0.6100386033,0.4988872762,1.006162951
126,0.6100432964,0.4988900782,1.006148798
127,0.6100372054,0.4988826125,1.006148016
128,0.6100409409,0.4988847172,1.006136122
129,0.6100358787,0.4988783505,1.006134661
130,0.610038845,0.4988799066,1.00612464
131,0.6100346289,0.4988744612,1.00612271
132,0.6100369779,0.4988755876,1.006114245
133,0.6100334584,0.4988709169,1.006112008
134,0.6100353128,0.4988717083,1.006104836
135,0.6100323678,0.4988676906,1.006102417
136,0.6100338262,0.4988682226,1.006096324
137,0.6100288854,0.4988612911,1.00609131
138,0.6100324046,0.4988636888,1.006082181
139,0.6100303736,0.4988613911,1.006082879
140,0.6100311604,0.4988609534,1.006075967
141,0.6100294831,0.4988590123,1.006076326
142,0.6100306344,0.4988579952,1.006064328
143,0.6100275713,0.4988549608,1.006067536
144,0.6100285319,0.4988553593,1.006063764
145,0.6100269867,0.4988532393,1.006062434
146,0.6100277416,0.498853504,1.006059227
147,0.610025148,0.4988498443,1.00605649
148,0.6100269774,0.4988510832,1.006051707
149,0.6100259151,0.498849876,1.006052044
150,0.6100263173,0.4988496285,1.006048392
151,0.6100254397,0.498848608,1.006048556
152,0.6100260256,0.498848043,1.006042213
153,0.6100244264,0.4988464542,1.006043865
154,0.610024924,0.4988466545,1.006041881
155,0.6100241132,0.4988455357,1.006041151
156,0.6100248946,0.4988457983,1.006037775
157,0.610023823,0.4988447007,1.006038717
158,0.6100244337,0.4988448577,1.006035836
159,0.6100235551,0.4988439424,1.006036532
160,0.6100240296,0.4988440192,1.006034068
161,0.6100233084,0.4988432542,1.00603457
162,0.6100236746,0.498843271,1.006032456
163,0.6100230818,0.49884263,1.006032809
164,0.6100233621,0.4988426027,1.00603099
165,0.6100228742,0.4988420643,1.006031225
166,0.6100230864,0.4988420052,1.006029656
167,0.6100226842,0.4988415518,1.006029802
168,0.6100228427,0.4988414706,1.006028444
169,0.6100225107,0.4988410877,1.006028523
170,0.6100227435,0.498840896,1.006026166
171,0.610022136,0.4988402955,1.006026809
172,0.6100223276,0.4988403768,1.006026066
173,0.6100220224,0.4988399599,1.006025812
174,0.6100221731,0.4988400145,1.006025181
175,0.610021661,0.4988392951,1.006024656
176,0.610022025,0.4988395428,1.006023711
177,0.6100218147,0.4988393046,1.006023782
