iteration,mu,alpha,beta
0,0.93,0.465,1
1,0.5493201008,0.4015182694,1.197699232
2,0.56693697,0.4840489259,1.029063486
3,0.4646224591,0.47038945,1.113830557
4,0.4822518717,0.5087050818,1.0453006
5,0.4079242946,0.577360264,1.06676445
6,0.4266272679,0.5885298533,1.05762856
7,0.4254772284,0.5788524923,1.082982352
8,0.4429616366,0.5887097908,1.089848777
9,0.4389471023,0.5815968466,1.110121027
10,0.4421753376,0.5873102024,1.11018004
11,0.4403979791,0.5850927932,1.125117531
12,0.442527385,0.5892358797,1.121337297
13,0.4422885437,0.5911295534,1.135137584
14,0.443626909,0.5939966312,1.132699655
15,0.4432449565,0.5956570153,1.142167346
16,0.4441258557,0.5976097058,1.140634664
17,0.443865266,0.5988927182,1.147237205
18,0.444452085,0.6002206963,1.146279914
19,0.4441316463,0.6021504826,1.155531727
20,0.4449567303,0.6037169681,1.153183768
21,0.4447270296,0.6036225899,1.154968107
22,0.4451573838,0.6046213293,1.154332919
23,0.4449169766,0.604324608,1.155551047
24,0.4451813746,0.6052104616,1.156055743
25,0.4450212992,0.6050177435,1.156884602
26,0.4452015327,0.6056334617,1.157270805
27,0.4450951781,0.6055090655,1.15783418
28,0.4452178884,0.6059371244,1.158127149
29,0.4451473527,0.6058572928,1.158509903
30,0.4452308864,0.6061549946,1.158730508
31,0.4451841729,0.6061040608,1.158990543
32,0.4452410525,0.6063112078,1.159155597
33,0.4452101517,0.6062789126,1.159332309
34,0.4452489014,0.6064231372,1.159455116
35,0.4452284811,0.606402801,1.159575262
36,0.4452813141,0.6066037829,1.159757139
37,0.4452477436,0.6065532409,1.159897901
38,0.4452626043,0.6065919727,1.159889963
39,0.4452477347,0.6065780881,1.159980557
40,0.4452601646,0.6066045114,1.159954066
41,0.445255356,0.6066154234,1.160034538
42,0.4452636672,0.6066333001,1.160017516
43,0.4452606189,0.6066416644,1.160073339
44,0.445266178,0.6066537686,1.160062442
45,0.4452642571,0.6066601169,1.160101202
46,0.4452679766,0.6066683194,1.160094255
47,0.4452667745,0.6066730987,1.160121192
48,0.4452692641,0.6066786618,1.160116785
49,0.4452685181,0.6066822357,1.160135521
50,0.445270185,0.6066860121,1.160132742
51,0.445269727,0.6066886695,1.160145786
52,0.4452719599,0.6066938011,1.160142304
53,0.4452707046,0.6066922185,1.160148589
54,0.445272062,0.6066966914,1.16015097
55,0.4452712312,0.606695671,1.160155221
56,0.4452721514,0.6066987709,1.160157059
57,0.4452716017,0.6066981151,1.160159936
58,0.4452722261,0.6067002654,1.160161339
59,0.4452718625,0.6066998456,1.160163288
60,0.4452722866,0.6067013386,1.16016435
61,0.4452720462,0.6067010709,1.16016567
62,0.4452723345,0.6067021084,1.160166468
63,0.4452721757,0.6067019386,1.160167364
64,0.4452723717,0.6067026603,1.160167959
65,0.4452722669,0.6067025532,1.160168567
