iteration,mu,alpha,beta
0,0.6679395149,0.6121727516,2.228874978
1,0.6679356087,0.6121715668,2.228879702
2,0.667939428,0.6121727252,2.228875083
3,0.6679356937,0.6121715926,2.228879599
4,0.6679393449,0.6121727,2.228875184
5,0.667935775,0.6121716172,2.228879501
6,0.6679392655,0.612172676,2.22887528
7,0.6679358526,0.6121716408,2.228879407
8,0.6679391895,0.6121726529,2.228875372
9,0.6679359269,0.6121716633,2.228879317
10,0.6679391169,0.6121726309,2.228875459
11,0.6679359978,0.6121716848,2.228879231
12,0.6679390475,0.6121726099,2.228875543
13,0.6679360657,0.6121717054,2.228879149
14,0.6679389812,0.6121725897,2.228875624
15,0.6679361306,0.6121717251,2.228879071
16,0.6679389178,0.6121725705,2.2288757
17,0.6679361926,0.6121717439,2.228878996
18,0.6679388571,0.6121725521,2.228875774
19,0.6679362519,0.6121717619,2.228878924
20,0.6679387992,0.6121725345,2.228875844
21,0.6679363085,0.6121717791,2.228878855
22,0.6679387438,0.6121725177,2.228875911
23,0.6679363627,0.6121717955,2.22887879
24,0.6679386908,0.6121725016,2.228875975
25,0.6679364145,0.6121718112,2.228878727
26,0.6679386401,0.6121724863,2.228876036
27,0.667936464,0.6121718262,2.228878667
28,0.6679385917,0.6121724716,2.228876094
29,0.6679365114,0.6121718406,2.22887861
30,0.6679385454,0.6121724576,2.22887615
31,0.6679365566,0.6121718543,2.228878555
32,0.6679385012,0.6121724441,2.228876204
33,0.6679365999,0.6121718674,2.228878503
34,0.6679384589,0.6121724313,2.228876255
35,0.6679366412,0.61217188,2.228878453
36,0.6679384184,0.612172419,2.228876304
37,0.6679366808,0.612171892,2.228878405
38,0.6679383798,0.6121724073,2.228876351
39,0.6679367186,0.6121719035,2.22887836
40,0.6679383428,0.6121723961,2.228876395
41,0.6679367547,0.6121719144,2.228878316
42,0.6679383075,0.6121723854,2.228876438
43,0.6679367893,0.6121719249,2.228878274
44,0.6679382737,0.6121723751,2.228876479
45,0.6679368223,0.6121719349,2.228878234
46,0.6679382414,0.6121723654,2.228876518
47,0.6679368539,0.6121719445,2.228878196
48,0.6679382105,0.612172356,2.228876555
49,0.6679368841,0.6121719536,2.228878159
50,0.667938181,0.612172347,2.228876591
51,0.6679369129,0.6121719624,2.228878125
52,0.6679381528,0.6121723385,2.228876625
53,0.6679369405,0.6121719708,2.228878091
54,0.6679381258,0.6121723303,2.228876658
55,0.6679369669,0.6121719788,2.228878059
56,0.6679381001,0.6121723225,2.228876689
57,0.6679369921,0.6121719864,2.228878029
58,0.6679380754,0.612172315,2.228876719
59,0.6679370162,0.6121719937,2.228878
60,0.6679380518,0.6121723079,2.228876747
61,0.6679370392,0.6121720007,2.228877972
62,0.6679380293,0.612172301,2.228876775
63,0.6679370613,0.6121720074,2.228877945
64,0.6679380078,0.6121722945,2.228876801
65,0.6679370823,0.6121720138,2.22887792
66,0.6679379872,0.6121722882,2.228876826
67,0.6679371024,0.6121720199,2.228877895
68,0.6679379675,0.6121722823,2.228876849
69,0.6679371217,0.6121720257,2.228877872
70,0.6679379487,0.6121722766,2.228876872
71,0.6679371401,0.6121720313,2.22887785
72,0.6679379307,0.6121722711,2.228876894
73,0.6679371577,0.6121720366,2.228877829
74,0.6679379135,0.6121722659,2.228876915
75,0.6679371745,0.6121720417,2.228877808
76,0.6679378971,0.6121722609,2.228876935
77,0.6679371906,0.6121720466,2.228877789
78,0.6679378813,0.6121722561,2.228876954
79,0.6679372059,0.6121720513,2.22887777
80,0.6679378663,0.6121722516,2.228876972
