iteration,mu,alpha,beta
0,1.09,0.545,1
1,0.576407667,0.4074619482,1.387064945
2,0.6795310624,0.4675854538,1.237298529
3,0.5463309189,0.5715128527,1.259082048
4,0.5746385693,0.5865617033,1.242302777
5,0.5963988095,0.5679085728,1.356994226
6,0.6146331765,0.584288583,1.338189069
7,0.6075664446,0.58920272,1.408883351
8,0.6200732725,0.6018425925,1.396688763
9,0.6137065121,0.6091373603,1.452320026
10,0.6225674367,0.6187091778,1.444991094
11,0.6182562355,0.6259681688,1.490382516
12,0.631063203,0.6406231464,1.482047631
13,0.62314888,0.6365175035,1.504856893
14,0.6314250953,0.6515061634,1.51822962
15,0.6253758541,0.6484786451,1.536428234
16,0.6318058638,0.66057466,1.548662256
17,0.6272562158,0.6584200703,1.562976171
18,0.6321803262,0.6681266085,1.573989589
19,0.6288093777,0.6666467049,1.585130322
20,0.63254918,0.674398787,1.594913469
21,0.6300829702,0.6734220195,1.603520072
22,0.6357448986,0.6858238338,1.620733277
23,0.6314454432,0.6830185461,1.631901186
24,0.6334296469,0.6859248812,1.632746408
25,0.6312915878,0.6854029621,1.64154976
26,0.6330436203,0.6873768545,1.64007846
27,0.6322298902,0.688873573,1.649706788
28,0.6347403377,0.6918174041,1.648010678
29,0.6332153771,0.6910032564,1.652662108
30,0.634764434,0.6938832038,1.655541761
31,0.6336762578,0.6933433877,1.659026599
32,0.6348194549,0.6955902833,1.661619906
33,0.6340466271,0.6952419198,1.664231096
34,0.6348898696,0.6969991901,1.666520965
35,0.6343433766,0.6967821331,1.668480186
36,0.6355895702,0.6995399952,1.672466382
37,0.6346628782,0.6989369188,1.674918833
38,0.6350838872,0.6995674918,1.675143974
39,0.6346371349,0.6994708198,1.677055047
40,0.6350062647,0.6998935214,1.676762873
41,0.6348410225,0.7002318469,1.678872964
42,0.6353688365,0.7008602613,1.678544521
43,0.6350511818,0.7006940787,1.679538105
44,0.6353760527,0.7013119936,1.680202473
45,0.6351524325,0.7012048403,1.680939425
46,0.6353902079,0.7016851386,1.681531775
47,0.6352331149,0.7016179702,1.68208019
48,0.6354075948,0.7019926519,1.682598632
49,0.6351873784,0.7019118212,1.683417991
50,0.6353616751,0.7020988196,1.68323209
51,0.6352720535,0.7022000856,1.684069877
52,0.6353963072,0.7023378537,1.683954065
53,0.6353365206,0.7024304704,1.684607342
54,0.6354251985,0.7025323752,1.684538136
55,0.6353858328,0.7026148993,1.685049402
56,0.6355125679,0.7027662913,1.684972116
57,0.6354364538,0.7027266646,1.685211513
58,0.6355144316,0.7028757218,1.685374234
59,0.6354610003,0.7028503279,1.685551439
60,0.6355179778,0.7029661073,1.685696213
61,0.6354805272,0.7029502941,1.685827905
62,0.6355222949,0.7030405712,1.685954381
63,0.6354698874,0.7030216978,1.686150946
64,0.6355114529,0.7030664548,1.686107159
65,0.6354902285,0.7030912813,1.686308963
66,0.6355198619,0.7031242626,1.68628178
67,0.6355057201,0.7031468875,1.686439145
68,0.6355268694,0.7031712888,1.68642299
69,0.6355082767,0.7032115081,1.686669323
70,0.635540825,0.7032427388,1.686620661
71,0.6355307535,0.7032436871,1.686675664
72,0.6355488418,0.7032668268,1.68667039
73,0.6355383338,0.7032621634,1.6867065
74,0.6355498428,0.7032864546,1.68673916
75,0.6355351343,0.7032807882,1.68679295
76,0.6355467148,0.7032931112,1.686780194
77,0.6355406659,0.7032993495,1.686834571
78,0.6355489188,0.7033084164,1.686826553
79,0.6355448711,0.703314171,1.686868889
80,0.6355507586,0.7033208684,1.686864032
81,0.6355480828,0.703326027,1.686897118
82,0.6355564923,0.7033359621,1.686891568
83,0.6355514171,0.7033332601,1.686907317
84,0.6355565605,0.7033429265,1.686917437
85,0.6355529994,0.7033411861,1.686929074
86,0.6355567521,0.7033486837,1.686938133
87,0.6355542567,0.7033475914,1.686946766
88,0.6355570038,0.7033534299,1.686954715
89,0.6355535119,0.7033521097,1.68696758
90,0.635556267,0.7033550516,1.686964583
91,0.6355548373,0.7033565822,1.686977648
92,0.6355568009,0.7033587477,1.686975771
93,0.6355558454,0.7033601542,1.686985946
94,0.6355572464,0.7033617545,1.686984815
95,0.6355566157,0.7033630121,1.686992771
96,0.6355586171,0.703365387,1.686991489
97,0.6355574117,0.7033647508,1.686995251
98,0.6355586384,0.703367072,1.686997724
99,0.6355577927,0.7033666632,1.687000504
100,0.635558688,0.7033684644,1.687002713
101,0.6355580955,0.7033682088,1.687004776
102,0.6355587512,0.703369612,1.68700671
103,0.6355579223,0.7033693047,1.687009787
104,0.6355585777,0.703370007,1.687009083
105,0.6355582399,0.7033703823,1.687012222
106,0.635558707,0.7033708995,1.687011783
