iteration,mu,alpha,beta
0,0.96,0.48,1
1,0.5921815754,0.3818158364,1.278623164
2,0.7132158623,0.4118896054,1.210784508
3,0.6570617879,0.3966164309,1.2743756
4,0.7030370123,0.4040965917,1.374865993
5,0.6629990719,0.3990742402,1.422722592
6,0.7050402169,0.4121308828,1.403472395
7,0.6624455328,0.4062291142,1.452693806
8,0.7070084484,0.4197501848,1.429601354
9,0.6839331259,0.4162954415,1.454854332
10,0.6981573395,0.4465342637,1.551021835
11,0.6761089748,0.443589712,1.578522719
12,0.6991940947,0.4511979153,1.565808471
13,0.6753842783,0.4475460653,1.594438434
14,0.7003628925,0.455418335,1.579225178
15,0.6873558711,0.4532264865,1.594121646
16,0.6944552843,0.4690299625,1.642347735
17,0.6829812937,0.4671982818,1.657009276
18,0.6951708321,0.4711211624,1.649569338
19,0.6888698655,0.4700212939,1.657176798
20,0.6922831496,0.4777683994,1.682571003
21,0.6871570155,0.4769960481,1.689317217
22,0.6925957551,0.4788135455,1.686041896
23,0.6897802496,0.4783358559,1.689550419
24,0.6926491636,0.4859209825,1.714195403
25,0.6903834434,0.4853620836,1.716456588
26,0.6905182389,0.4854134439,1.716535166
27,0.6904098782,0.4854066193,1.716821452
28,0.6905492915,0.4854634882,1.716852405
29,0.690423556,0.4854547091,1.717119936
30,0.6905717722,0.4855147786,1.717113245
31,0.6904296978,0.4855019137,1.717371735
32,0.6905896536,0.4855642431,1.717332853
33,0.6904311489,0.4855461101,1.717588824
34,0.6906051627,0.4856105026,1.717520607
35,0.6904294533,0.4855864038,1.717778837
36,0.6906195747,0.4856530703,1.717682591
37,0.6904254389,0.4856225392,1.71794692
38,0.6906336466,0.4856919184,1.717822984
39,0.6905265835,0.4856732497,1.717959869
40,0.6906405164,0.4859559761,1.718934705
41,0.6905566648,0.4859360929,1.719015666
42,0.6905601833,0.4859390755,1.719014684
43,0.6905555387,0.4859397156,1.719021904
44,0.6905597541,0.4859423431,1.719020932
45,0.6905548979,0.4859425106,1.719028735
46,0.6905597128,0.4859449519,1.719027364
47,0.6905545015,0.4859447567,1.719035529
48,0.6905598858,0.485947115,1.719033534
49,0.6905542182,0.4859466164,1.719041982
50,0.6905601805,0.485948959,1.719039238
51,0.6905539761,0.4859481874,1.71904797
52,0.6905605484,0.4859505619,1.719044399
53,0.6905537355,0.4859495309,1.719053457
54,0.6905609654,0.4859519747,1.719049003
55,0.6905572197,0.485951331,1.719053728
56,0.6905608602,0.4859613929,1.71908626
57,0.6905579717,0.4859606676,1.719089177
