iteration,mu,alpha,beta
0,1.01,0.505,1
1,0.598799791,0.3843805293,1.297878457
2,0.6837089527,0.4012043976,1.211161609
3,0.7532376643,0.2442781083,1.005377048
4,0.7631954654,0.2594458878,0.9427810664
5,0.6996568867,0.2571772574,0.9504516608
6,0.7255169626,0.2629957589,0.9277312991
7,0.6438771041,0.2869934363,0.8363527678
8,0.6601364425,0.2889982409,0.8283424691
9,0.6704170779,0.2789197316,0.8445393058
10,0.6758686733,0.2796419082,0.8412369297
11,0.6758182445,0.2769614254,0.8417894559
12,0.6779972815,0.2772386546,0.8401784103
13,0.6772868566,0.2759981976,0.8384184512
14,0.6791152902,0.276172604,0.836744012
15,0.6780780878,0.2758901578,0.8371053747
16,0.6789266669,0.2747658845,0.8323714205
17,0.6779345182,0.2745334053,0.8327929428
18,0.6782818047,0.2742658282,0.8311885676
19,0.6773984555,0.274025966,0.8314515875
20,0.6778731041,0.2740829948,0.8310349035
21,0.677291178,0.2734438538,0.8293746152
22,0.6777355235,0.2735078935,0.8290301746
23,0.6774940464,0.273298866,0.8285847536
24,0.6778771679,0.2733394408,0.8282331413
25,0.677655895,0.2732816683,0.8283095635
26,0.6778080579,0.2730686472,0.8273246526
27,0.6776022791,0.2730200898,0.8274143481
28,0.6776815965,0.2729627728,0.8270972967
29,0.6775000498,0.2729134639,0.8271525287
30,0.6775980833,0.2729251946,0.8270675129
31,0.6774810184,0.2727938848,0.826734492
32,0.6775727528,0.2728071836,0.8266636171
33,0.6775223108,0.2727647357,0.8265727424
34,0.6776016577,0.2727732427,0.8265003702
35,0.6775558444,0.2727613464,0.8265163291
36,0.6775872743,0.2727180554,0.8263151407
37,0.6775448124,0.2727080563,0.8263337212
38,0.6775612312,0.272696357,0.8262689789
39,0.677523861,0.2726862314,0.8262804302
40,0.677544051,0.2726886556,0.8262629801
41,0.67752001,0.2726617876,0.8261950912
42,0.6775389086,0.2726645332,0.8261805209
43,0.6775285218,0.2726558444,0.8261619892
44,0.6775448785,0.2726576086,0.8261471164
45,0.6775354377,0.2726551626,0.826150423
46,0.6775419295,0.2726463231,0.8261092572
47,0.6775331845,0.2726442668,0.8261130935
48,0.6775365698,0.2726418789,0.8260998394
49,0.6775288777,0.2726397987,0.8261022107
50,0.6775330345,0.2726402997,0.8260986258
51,0.6775280924,0.2726347992,0.8260847578
52,0.6775319835,0.2726353656,0.8260817624
53,0.6775298468,0.2726335861,0.8260779791
54,0.6775332152,0.2726339512,0.8260749235
55,0.6775312715,0.2726334485,0.8260756074
56,0.677532611,0.2726316424,0.8260671799
57,0.6775308108,0.2726312196,0.8260679715
58,0.6775315085,0.2726307321,0.8260652571
59,0.6775299252,0.2726303047,0.826065748
60,0.677530781,0.2726304082,0.8260650114
61,0.6775297649,0.272629282,0.8260621774
62,0.677530566,0.2726293988,0.8260615616
63,0.6775301265,0.2726290343,0.8260607891
64,0.67753082,0.2726291098,0.8260601613
65,0.6775304199,0.2726290065,0.8260603027
