iteration,mu,alpha,beta
0,1.02,0.51,1
1,0.5961943713,0.3895799279,1.289035232
2,0.6790929303,0.4108992487,1.184728042
3,0.5760256737,0.2866643913,0.7541708092
4,0.6114600754,0.2967648068,0.7246004951
5,0.6095104202,0.2934550282,0.7266487065
6,0.6158382412,0.2932537967,0.7213551532
7,0.6113782609,0.2899806253,0.7242486094
8,0.6188796138,0.2907240509,0.7173175813
9,0.6152886837,0.2889306263,0.7194979246
10,0.620229837,0.2853627233,0.710299141
11,0.6174814383,0.284217201,0.7114475264
12,0.6203338608,0.280112682,0.6944744847
13,0.6164253801,0.2788111006,0.6966855485
14,0.6173091788,0.2784858351,0.6932234713
15,0.6149421735,0.2775030909,0.6937543036
16,0.61734128,0.2779327718,0.6907729315
17,0.6157723579,0.2773352467,0.6913860386
18,0.6166647826,0.2754833485,0.6819934172
19,0.614554879,0.274762323,0.6832252132
20,0.6151454066,0.2745478127,0.6814502334
21,0.6138902289,0.2740038344,0.6817671659
22,0.6152247036,0.2742291299,0.6801799911
23,0.6143799443,0.273901286,0.6805229065
24,0.6150240328,0.2728484103,0.6755828642
25,0.6138682142,0.2724591554,0.6762482953
26,0.6141690649,0.2723501382,0.6752778979
27,0.6134836247,0.2720581726,0.6754439198
28,0.614202335,0.2721811983,0.6745841451
29,0.613742803,0.2720045076,0.6747675084
30,0.6140663751,0.2714407023,0.6720746732
31,0.6134418729,0.2712296961,0.6724337015
32,0.6136075408,0.2711677936,0.6719096867
33,0.6132387574,0.2710092916,0.6719975548
34,0.6136272835,0.2710744487,0.6715333367
35,0.613379595,0.2709787276,0.67163128
36,0.6135580223,0.2706667274,0.6701681546
37,0.6132209405,0.2705528399,0.6703605421
38,0.6133090635,0.2705185522,0.6700748286
39,0.6131101709,0.2704327972,0.6701202227
40,0.6133190184,0.2704673456,0.6698689203
41,0.6131855187,0.270415606,0.6699207586
42,0.6132793731,0.2702437722,0.6691208583
43,0.6130979227,0.2701823049,0.6692237788
44,0.6131451796,0.2701630318,0.6690680444
45,0.613038159,0.2701165624,0.6690913768
46,0.6131503794,0.2701347667,0.6689553352
47,0.6130067272,0.270078802,0.6690100683
48,0.6130847634,0.2700948885,0.6689279935
49,0.6130090266,0.2700201524,0.6687914213
50,0.6131095641,0.2700384955,0.6686770064
51,0.613046075,0.2700146571,0.6687044492
52,0.6130711108,0.2699805042,0.6685343758
53,0.612987713,0.2699474504,0.6685640518
54,0.6130327758,0.2699564431,0.6685155971
55,0.6129880206,0.269910683,0.6684290635
56,0.6130460718,0.2699207861,0.6683612438
57,0.6130092068,0.2699067302,0.6683763862
58,0.6130368159,0.2698632522,0.6681676602
59,0.6129866397,0.2698464161,0.6681966515
60,0.6129999479,0.2698417536,0.6681556081
61,0.6129704517,0.2698292096,0.6681629777
62,0.6130016037,0.2698345366,0.668126251
63,0.6129817818,0.2698269382,0.6681342409
64,0.6129963502,0.2698028288,0.6680198699
65,0.6129693839,0.269793753,0.6680353461
66,0.6129764874,0.2697911222,0.6680129239
67,0.6129606237,0.2697843267,0.668016707
68,0.6129773366,0.269787132,0.6679968147
69,0.6129666801,0.269783024,0.6680010254
70,0.6129743564,0.2697696538,0.6679383365
71,0.6129598661,0.2697647614,0.6679465947
72,0.6129636562,0.2697632782,0.6679343421
73,0.6129551248,0.2697595964,0.6679362767
74,0.6129640898,0.2697610719,0.6679255005
75,0.6129583612,0.2697588508,0.6679277171
76,0.6129624009,0.2697514367,0.6678933488
77,0.6129546151,0.2697487993,0.6678977541
78,0.6129566367,0.2697479639,0.6678910573
79,0.6129520486,0.2697459687,0.6678920425
80,0.6129568571,0.269746744,0.6678862039
81,0.6129506982,0.2697443419,0.6678885351
82,0.612954043,0.2697450291,0.6678850139
83,0.612950789,0.2697418088,0.6678791185
84,0.6129551041,0.269742593,0.6678742021
85,0.6129523782,0.2697415686,0.6678753754
86,0.6129534499,0.2697400915,0.6678680474
87,0.6129498698,0.2697386707,0.6678693132
88,0.6129518038,0.2697390554,0.6678672311
89,0.6129498793,0.2697370818,0.6678634922
90,0.6129523725,0.2697375139,0.667860575
91,0.6129507886,0.2697369094,0.6678612227
92,0.6129519707,0.2697350282,0.6678522201
93,0.6129498153,0.2697343046,0.6678534633
94,0.6129503859,0.2697341019,0.6678516939
95,0.612949119,0.2697335621,0.6678520068
96,0.6129504563,0.2697337897,0.6678504268
97,0.612949605,0.2697334629,0.6678507682
98,0.6129502278,0.2697324191,0.6678458327
99,0.6129490698,0.2697320291,0.667846496
100,0.6129493742,0.2697319146,0.6678455291
101,0.6129486929,0.2697316222,0.6678456894
102,0.6129494102,0.269731742,0.6678448335
103,0.6129489526,0.2697315653,0.6678450133
104,0.6129492805,0.2697309863,0.6678423073
105,0.6129486583,0.2697307761,0.6678426611
