iteration,mu,alpha,beta
0,1.075,0.5375,1
1,0.5676151118,0.4145040049,1.348370548
2,0.6482267957,0.479224554,1.183377126
3,0.4589970335,0.6201239594,1.102611452
4,0.5847224143,0.5789943425,1.216827673
5,0.5508751287,0.5782677142,1.244665003
6,0.5577596935,0.595107115,1.217098096
7,0.5446595695,0.5969971322,1.231113908
8,0.5468962542,0.6046648715,1.22170485
9,0.5414162767,0.6067022661,1.230500242
10,0.5424175776,0.6106429715,1.227459555
11,0.5378259015,0.6142601879,1.239690424
12,0.5400282885,0.6177835103,1.235543258
13,0.538816538,0.6177182684,1.241985365
14,0.5399015075,0.6196414491,1.240600362
15,0.5394153193,0.6200830942,1.244731898
16,0.5405220426,0.6223255069,1.244338543
17,0.5398073321,0.6217933582,1.247369809
18,0.5403979504,0.6231974257,1.247918812
19,0.5397650448,0.6229716416,1.251470223
20,0.5404123092,0.6240212498,1.250558042
21,0.5401535495,0.6241468287,1.252770783
22,0.5408054958,0.6253476359,1.252356543
23,0.5403902041,0.6249938873,1.254041195
24,0.5407308766,0.6257295624,1.254206963
25,0.5405452217,0.6256306747,1.255169579
26,0.5409177535,0.6265948494,1.255917381
27,0.5406680893,0.6263726365,1.25690468
28,0.5408693573,0.6267934137,1.256963383
29,0.5407573598,0.6267261783,1.257521251
30,0.5409753497,0.627271672,1.257902631
31,0.5408255217,0.6271337056,1.258479813
32,0.540943744,0.6273745469,1.258492573
33,0.5408762762,0.6273301725,1.258815469
34,0.5410032913,0.6276390509,1.259006928
35,0.5409135827,0.6275539998,1.259344086
36,0.5409829562,0.6276919127,1.259339551
37,0.5409424036,0.6276631751,1.259526444
38,0.5410163849,0.6278381944,1.259620818
39,0.5409627569,0.6277860332,1.259817767
40,0.541003463,0.6278650729,1.25980844
41,0.5409791291,0.6278467154,1.259916675
42,0.541000683,0.6278963479,1.259939381
43,0.540979437,0.6278893054,1.260065823
44,0.5410020811,0.6279261452,1.260035307
45,0.540993513,0.6279312076,1.260114384
46,0.5410163717,0.6279735161,1.260101772
47,0.5410021056,0.6279615539,1.260160976
48,0.5410140456,0.6279875431,1.260168213
49,0.5410014045,0.627981246,1.260235971
50,0.5410142662,0.628001489,1.260216214
51,0.5410090037,0.6280025947,1.26025767
52,0.5410154419,0.6280139925,1.260252275
53,0.5410116444,0.6280216594,1.260306611
54,0.5410192377,0.6280334426,1.260294349
55,0.5410160333,0.6280336591,1.260317973
56,0.5410198212,0.6280402361,1.26031434
57,0.5410174373,0.6280440782,1.260345002
58,0.541021922,0.6280509445,1.260337429
59,0.5410199754,0.6280508313,1.26035091
60,0.5410222053,0.6280546316,1.260348517
61,0.5410207188,0.6280565225,1.260365842
62,0.5410233685,0.6280605279,1.260361185
63,0.5410221885,0.6280603277,1.260368889
64,0.5410235019,0.6280625265,1.260367339
65,0.5410230411,0.6280629806,1.260372241
66,0.5410243767,0.6280655466,1.260371838
67,0.5410235706,0.6280649226,1.260375369
68,0.5410242756,0.628066526,1.260376042
69,0.5410235696,0.6280662645,1.260380147
70,0.5410243142,0.6280674669,1.260379112
71,0.5410240274,0.6280676103,1.260381667
72,0.5410247776,0.6280689853,1.260381205
73,0.5410243055,0.6280685819,1.260383138
74,0.5410246963,0.6280694225,1.26038334
75,0.5410244866,0.6280693115,1.260384441
76,0.5410249132,0.6280704124,1.260385312
77,0.5410246309,0.6280701621,1.260386436
78,0.5410248593,0.6280706412,1.26038651
79,0.5410247332,0.6280705666,1.260387145
80,0.5410249805,0.6280711879,1.260387589
81,0.5410248119,0.6280710334,1.260388243
82,0.5410249454,0.6280713067,1.260388262
