iteration,mu,alpha,beta
0,1.19,0.595,1
1,0.5912605847,0.4059406566,1.477424567
2,0.7774870768,0.4760905722,1.257143543
3,0.7474367692,0.4728123956,1.269667877
4,0.7470325724,0.4846163981,1.243416149
5,0.7220461375,0.4829141398,1.25050007
6,0.7316491191,0.4894847786,1.233662455
7,0.720995289,0.4893501897,1.23399837
8,0.7240037467,0.4920018316,1.226697615
9,0.7191240775,0.4920634771,1.225195322
10,0.7208888405,0.4941387102,1.218119618
11,0.7176390399,0.4930477243,1.219811203
12,0.718032543,0.4937557494,1.21585854
13,0.7166118451,0.4932292618,1.216049727
14,0.7165182715,0.4934449664,1.210979853
15,0.7152377955,0.4927715053,1.211538715
16,0.7155864459,0.4927262438,1.209441224
17,0.7144553975,0.49198199,1.209175203
18,0.7150710048,0.4921396492,1.207761331
19,0.7139954893,0.4911601604,1.206223896
20,0.7146859425,0.4913500681,1.204841998
21,0.713646142,0.4903909104,1.203696874
22,0.7144016606,0.4906212405,1.202321372
23,0.7138735169,0.4901602889,1.201910394
24,0.7144312343,0.4902028589,1.200319682
25,0.7138863741,0.4898546574,1.200481942
26,0.7142405255,0.4896231913,1.198306009
27,0.7136628695,0.4892718199,1.198560661
28,0.7140802364,0.4891150883,1.196529408
29,0.713465537,0.4887574507,1.196874036
30,0.7137058715,0.4887141251,1.195916395
31,0.7131702763,0.4883255759,1.195871038
32,0.7135002349,0.4884065132,1.195187505
33,0.712998746,0.487909342,1.194546283
34,0.713359696,0.4880126014,1.193865131
35,0.7131015797,0.4877767089,1.193625455
36,0.7133663971,0.4877842614,1.192820216
37,0.7131017638,0.4876103367,1.192879128
38,0.7132649527,0.4874752087,1.191756564
39,0.7129842596,0.4873004099,1.19186242
40,0.7131786665,0.4872045256,1.190817173
41,0.7128799992,0.4870272097,1.190968657
42,0.7129929798,0.4869974632,1.19047761
43,0.7127308757,0.4868012053,1.19042842
44,0.7128890991,0.4868364241,1.190085198
45,0.712640481,0.4865802878,1.189725112
46,0.712814237,0.4866269462,1.189384067
47,0.71255877,0.4863847952,1.189108517
48,0.7127489109,0.4864427598,1.188766308
49,0.7126167017,0.4863271742,1.188667341
50,0.7127581463,0.4863386579,1.188271277
51,0.7126208428,0.4862511454,1.188314063
52,0.712711568,0.4861943919,1.187773163
53,0.7125655701,0.48610593,1.187839195
54,0.7126721433,0.4860680897,1.18733285
55,0.7125164735,0.4859778744,1.18742162
56,0.7125778089,0.4859677669,1.187182415
57,0.7124421241,0.4858699723,1.187174064
58,0.7125261466,0.4858909709,1.187002275
59,0.7123990836,0.4857661647,1.186845828
60,0.7124912619,0.4857929206,1.186674027
