iteration,mu,alpha,beta
0,0.6425111378,0.5654996901,1.791176151
1,0.6425085542,0.5654987323,1.791179431
2,0.6425110738,0.5654996663,1.791176233
3,0.6425086167,0.5654987555,1.791179352
4,0.6425110128,0.5654996437,1.79117631
5,0.6425086761,0.5654987775,1.791179276
6,0.6425109549,0.5654996222,1.791176384
7,0.6425087326,0.5654987984,1.791179204
8,0.6425108997,0.5654996018,1.791176453
9,0.6425087864,0.5654988184,1.791179136
10,0.6425108473,0.5654995824,1.79117652
11,0.6425088375,0.5654988373,1.791179071
12,0.6425107975,0.5654995639,1.791176583
13,0.6425088861,0.5654988553,1.79117901
14,0.6425107501,0.5654995463,1.791176643
15,0.6425089323,0.5654988725,1.791178951
16,0.642510705,0.5654995296,1.791176701
17,0.6425089763,0.5654988888,1.791178895
18,0.6425106621,0.5654995137,1.791176755
19,0.6425090181,0.5654989043,1.791178842
20,0.6425106213,0.5654994986,1.791176807
21,0.6425090579,0.565498919,1.791178792
22,0.6425105826,0.5654994842,1.791176856
23,0.6425090957,0.565498933,1.791178744
24,0.6425105457,0.5654994706,1.791176903
25,0.6425091316,0.5654989464,1.791178698
26,0.6425105106,0.5654994576,1.791176947
27,0.6425091658,0.565498959,1.791178654
28,0.6425104773,0.5654994452,1.79117699
29,0.6425091984,0.5654989711,1.791178613
30,0.6425104456,0.5654994334,1.79117703
31,0.6425092293,0.5654989826,1.791178574
32,0.6425104154,0.5654994223,1.791177068
33,0.6425092587,0.5654989935,1.791178537
34,0.6425103867,0.5654994116,1.791177105
35,0.6425092867,0.5654990038,1.791178501
36,0.6425103594,0.5654994015,1.791177139
37,0.6425093133,0.5654990137,1.791178467
38,0.6425103335,0.5654993919,1.791177172
39,0.6425093386,0.5654990231,1.791178435
40,0.6425103088,0.5654993827,1.791177204
41,0.6425093627,0.565499032,1.791178405
42,0.6425102853,0.565499374,1.791177233
43,0.6425093855,0.5654990405,1.791178376
44,0.642510263,0.5654993658,1.791177262
45,0.6425094073,0.5654990486,1.791178348
46,0.6425102418,0.5654993579,1.791177289
47,0.642509428,0.5654990562,1.791178322
48,0.6425102216,0.5654993504,1.791177314
49,0.6425094477,0.5654990635,1.791178297
50,0.6425102024,0.5654993433,1.791177339
51,0.6425094664,0.5654990705,1.791178273
52,0.6425101842,0.5654993365,1.791177362
53,0.6425094842,0.5654990771,1.79117825
54,0.6425101668,0.5654993301,1.791177384
55,0.6425095011,0.5654990833,1.791178229
56,0.6425101503,0.565499324,1.791177405
57,0.6425095172,0.5654990893,1.791178208
58,0.6425101346,0.5654993182,1.791177425
59,0.6425095325,0.565499095,1.791178189
60,0.6425101197,0.5654993126,1.791177444
