iteration,mu,alpha,beta
0,1.36,0.68,1
1,0.5758897542,0.381727087,1.790989376
2,0.9663619955,0.4928583035,1.351296955
3,0.8627643687,0.4716529783,1.405388103
4,0.8956641372,0.4853304442,1.35393416
5,0.8715247715,0.4822737171,1.353063797
6,0.8737479303,0.4891745427,1.313527446
7,0.8557052574,0.4853121332,1.314779925
8,0.8595763599,0.4893163439,1.284631042
9,0.8457365375,0.485286494,1.286726966
10,0.8503798676,0.4875442286,1.262995468
11,0.839462009,0.4836796924,1.265317099
12,0.8442763322,0.484913838,1.246146302
13,0.8354554086,0.4813661549,1.248403823
14,0.8400896473,0.4820068765,1.232612017
15,0.8328320085,0.4788290263,1.234678145
16,0.8371076354,0.4791268404,1.221484939
17,0.831057708,0.4763211752,1.223313768
18,0.8349019909,0.4764211771,1.212180759
19,0.8298128871,0.4739657829,1.213766886
20,0.8332133299,0.4739522564,1.204305962
21,0.8289059413,0.4718150377,1.205663357
22,0.8318819709,0.4717373153,1.197583329
23,0.8282209819,0.4698833195,1.198734268
24,0.8308072343,0.4697705702,1.191809138
25,0.8276868751,0.4681656456,1.19277842
26,0.8299237029,0.468035306,1.186827956
27,0.8272590709,0.4666477939,1.187639972
28,0.8291873696,0.4665103912,1.182517411
29,0.8269089547,0.4653117793,1.183194747
30,0.828567507,0.4651737108,1.178778706
31,0.8266175922,0.4641387506,1.179341583
32,0.8280418467,0.4640039018,1.175530511
33,0.8263720311,0.4631104638,1.175996658
34,0.8275936798,0.4629811633,1.172704892
35,0.8261630975,0.4622099751,1.173089647
36,0.8272100804,0.4620875675,1.170244485
37,0.8259840655,0.4614219115,1.170560995
38,0.8268807913,0.4613071077,1.168100463
39,0.8258298431,0.4607325189,1.168359925
40,0.8265975061,0.4606256154,1.166231019
41,0.8256964639,0.4601295973,1.166442922
42,0.8263533908,0.4600306165,1.164600199
43,0.8255807632,0.4596023832,1.164772558
44,0.8261427559,0.4595111664,1.163176982
45,0.8254801659,0.4591414135,1.163316543
46,0.8259608213,0.4590576824,1.161934536
47,0.8253925435,0.4587383861,1.162046964
48,0.8258035442,0.4586617864,1.160849605
49,0.8253161147,0.4583860278,1.160939647
50,0.8256674882,0.4583161591,1.159902004
51,0.825249375,0.4580779722,1.159973628
52,0.8255497208,0.4580144094,1.159074189
53,0.8251910437,0.4578086501,1.159130709
54,0.8254477324,0.457750959,1.158350902
55,0.8251400244,0.4575731907,1.158395075
56,0.8253593702,0.4575209389,1.157718856
57,0.8250953742,0.4573673355,1.157752973
58,0.8252827842,0.4573201004,1.157166477
59,0.8250562793,0.4571873612,1.157192439
60,0.8252163824,0.4571447354,1.156683673
61,0.8250220349,0.4570300131,1.156703054
62,0.8251587929,0.4569916082,1.156261647
63,0.8249920298,0.4568924459,1.156275743
64,0.8251088324,0.4568578946,1.15589272
65,0.8249657323,0.4567721722,1.155902601
66,0.8250654796,0.45674113,1.155570193
67,0.8249426796,0.4566670177,1.155576734
68,0.8250278518,0.4566391632,1.155288214
69,0.8249224678,0.4565750815,1.155292135
70,0.8249951862,0.4565501165,1.155041675
71,0.8249047447,0.4564947018,1.155043561
72,0.824966823,0.456472351,1.154826114
73,0.8248892021,0.456424426,1.154826441
74,0.8249421911,0.4564044359,1.154637634
75,0.8248755709,0.4563629839,1.154636785
76,0.824920796,0.4563451222,1.154472828
77,0.8248636154,0.4563092651,1.154471113
78,0.8249022096,0.4562933194,1.154328719
79,0.8248531292,0.4562622989,1.154326386
80,0.8249189938,0.4562338528,1.15407904
81,0.8248182678,0.4561872859,1.154135369
82,0.8248591987,0.4561915848,1.154060226
83,0.8248137502,0.4561557745,1.154032763
84,0.8248487754,0.4561592645,1.153967797
85,0.8248097309,0.4561282068,1.153943165
86,0.8248397019,0.4561310284,1.153886991
87,0.8248061569,0.4561040897,1.153864922
88,0.8248318025,0.4561063599,1.153816345
89,0.8248029807,0.4560829918,1.153796593
90,0.8248249246,0.4560848081,1.153754581
91,0.8248001596,0.4560645353,1.153736921
92,0.8248189355,0.4560659791,1.153700583
93,0.824797655,0.4560483898,1.153684807
94,0.82481372,0.4560495286,1.153653373
95,0.8247954327,0.4560342662,1.153639293
96,0.8248091777,0.456035156,1.153612099
97,0.8247934617,0.4560219115,1.153599543
98,0.8248052214,0.4560225988,1.153576014
99,0.8247917145,0.4560111043,1.153564825
100,0.8248017753,0.4560116276,1.153544465
101,0.8247901663,0.4560016509,1.153534502
102,0.8247987734,0.456002042,1.153516882
103,0.824788795,0.4559933819,1.153508017
104,0.8247961581,0.4559936669,1.153492768
105,0.8247875809,0.455986149,1.153484884
106,0.8247938797,0.4559863494,1.153471685
107,0.8247865065,0.4559798225,1.153464679
108,0.8247918945,0.4559799558,1.153453252
109,0.8247792175,0.4559686218,1.153440807
110,0.8247916042,0.4559716169,1.153424134
111,0.8247854351,0.4559680724,1.153425112
112,0.8247898748,0.4559670682,1.153411722
113,0.8247845809,0.4559640051,1.153412485
114,0.824788373,0.455963096,1.153400864
115,0.82478383,0.4559604486,1.153401452
116,0.8247870687,0.4559596271,1.153391367
117,0.82478317,0.4559573388,1.153391813
118,0.8247859358,0.4559565977,1.153383059
119,0.8247825899,0.4559546197,1.153383391
120,0.8247849518,0.4559539521,1.153375793
121,0.8247820803,0.4559522421,1.153376033
122,0.8247840969,0.4559516417,1.153369436
123,0.8247816324,0.4559501631,1.153369604
124,0.8247833542,0.4559496239,1.153363877
125,0.824781239,0.4559483454,1.153363987
126,0.8247827089,0.4559478616,1.153359014
127,0.8247808935,0.455946756,1.153359079
128,0.8247821482,0.4559463225,1.153354761
129,0.82478059,0.4559453663,1.153354791
130,0.8247816609,0.4559449782,1.153351041
131,0.8247803235,0.4559441512,1.153351044
132,0.8247812374,0.4559438042,1.153347787
133,0.8247800894,0.4559430888,1.15334777
134,0.8247808694,0.4559427788,1.153344941
135,0.824779884,0.4559421599,1.153344909
136,0.8247805495,0.4559418832,1.153342452
137,0.8247797036,0.4559413478,1.15334241
138,0.8247808392,0.4559408541,1.153338141
139,0.824779103,0.455940051,1.153339109
140,0.8247798085,0.4559401244,1.153337813
141,0.8247790251,0.4559395059,1.153337337
142,0.8247796288,0.4559395655,1.153336216
143,0.8247789557,0.4559390291,1.153335789
144,0.8247794724,0.4559390772,1.153334819
145,0.824778894,0.4559386119,1.153334437
146,0.8247793361,0.4559386506,1.153333598
147,0.8247788391,0.455938247,1.153333256
148,0.8247792174,0.4559382779,1.15333253
149,0.8247787903,0.4559379277,1.153332224
150,0.8247791141,0.4559379523,1.153331597
151,0.824778747,0.4559376485,1.153331323
152,0.824779024,0.4559376678,1.153330781
153,0.8247787086,0.4559374041,1.153330537
154,0.8247789456,0.4559374193,1.153330067
155,0.8247786745,0.4559371904,1.153329849
156,0.8247788773,0.4559372021,1.153329443
157,0.8247786443,0.4559370035,1.153329249
