iteration,mu,alpha,beta
0,0.985,0.4925,1
1,0.5842500007,0.3891007642,1.268072698
2,0.7106478638,0.4352118982,1.08431549
3,0.625802028,0.4090863489,1.142697794
4,0.6304301325,0.4145078769,1.093775484
5,0.6056503241,0.4069627053,1.086011387
6,0.6175479175,0.4121062587,1.044590588
7,0.5932186104,0.4015854031,1.050121802
8,0.6117500499,0.4082449694,1.010072285
9,0.5980766441,0.4016741426,1.018420267
10,0.5963870186,0.3950296826,0.9650884024
11,0.5892456829,0.3908279468,0.9710481604
12,0.5931487724,0.3849869721,0.9469929304
13,0.5888690837,0.3826256342,0.9504842978
14,0.5906614886,0.379681295,0.9368766972
15,0.5882679157,0.3783603125,0.9388519438
16,0.5893422558,0.3766789647,0.9314498674
17,0.5880285447,0.3759545053,0.9325218733
18,0.5886068972,0.375005126,0.9284308972
19,0.5878976299,0.3746113505,0.9290000452
20,0.5882070575,0.374069883,0.9267362576
21,0.5878274405,0.3738570063,0.9270340512
22,0.5879905596,0.3735476816,0.9257780353
23,0.5877883868,0.3734328885,0.92593241
24,0.5878737998,0.3732560253,0.9252345003
25,0.5877664136,0.3731941854,0.9253140003
26,0.5878109154,0.3730930811,0.9249257455
27,0.587753956,0.3730597723,0.9249664714
28,0.5878001651,0.3729442578,0.9245341475
29,0.587736896,0.372915586,0.9246026844
30,0.5877453746,0.3729162188,0.9245845409
31,0.5877349823,0.3729090768,0.9245890038
32,0.5877461739,0.3729114512,0.9245693448
33,0.5877328267,0.3729035646,0.9245786637
34,0.587740169,0.3729057333,0.9245674719
35,0.5877351056,0.3728961609,0.924552605
36,0.5877389843,0.3728972729,0.9245465969
37,0.5877362732,0.3728919451,0.9245380578
38,0.5877383224,0.3728925135,0.9245348303
39,0.5877368716,0.3728895455,0.9245299351
40,0.5877379542,0.372889835,0.9245282
41,0.5877364001,0.3728865267,0.9245225947
42,0.5877376409,0.3728870272,0.9245210779
43,0.5877374597,0.3728868911,0.9245211231
