iteration,mu,alpha,beta
0,1.23,0.615,1
1,0.5972709381,0.3928288315,1.6024273
2,0.8492765657,0.4647580703,1.380115873
3,0.8213025904,0.4580926488,1.433639679
4,0.881990394,0.4780109653,1.507018346
5,0.8402376166,0.4715422638,1.563697557
6,0.8714076805,0.4855245638,1.58821253
7,0.8332175067,0.4841027352,1.665529528
8,0.8673910506,0.4959431121,1.660267603
9,0.8520038039,0.5004586722,1.71683623
10,0.8832554682,0.5159777855,1.734253944
11,0.8610833297,0.5151128447,1.772625442
12,0.8929848807,0.539606059,1.828870879
13,0.8639196336,0.5370829543,1.87197698
14,0.8835034095,0.5500408545,1.893450467
15,0.8558945313,0.5516863831,1.954379968
16,0.8793728678,0.5613157004,1.951715934
17,0.8552541194,0.5714181689,2.045158976
18,0.883340676,0.58204011,2.036238219
19,0.8681850407,0.5857592338,2.082604166
20,0.895098958,0.5995521299,2.089698368
21,0.8744681594,0.5979644502,2.123489696
22,0.8883880994,0.6082039666,2.140555018
23,0.8682246117,0.6097010154,2.188175955
24,0.8853955632,0.6171434252,2.185698459
25,0.8760648004,0.6209354405,2.221583355
26,0.893088347,0.6311236237,2.231279773
27,0.8801776448,0.63067624,2.255863971
28,0.8890888637,0.6384373932,2.271503632
29,0.8763753337,0.6404218812,2.306960435
30,0.8874113241,0.6457477242,2.30712831
31,0.8754416251,0.6524044393,2.362185441
32,0.8895384896,0.6582548214,2.357762032
33,0.881533126,0.6604369008,2.384550876
34,0.8886385064,0.6643041068,2.386342215
35,0.8810378745,0.6701843699,2.428906395
36,0.8902421804,0.6743505725,2.42729089
37,0.885036878,0.6763792895,2.447622726
38,0.894500069,0.6820791656,2.452201998
39,0.8872374798,0.6816766235,2.466265422
40,0.8922667266,0.6859368984,2.474143661
41,0.8849272053,0.6867485181,2.493959018
42,0.8912903289,0.6897357297,2.493157832
43,0.8876811476,0.6912920345,2.50809519
44,0.8942979957,0.6954194715,2.511789334
45,0.8892305017,0.6951811911,2.521971709
46,0.8927651209,0.6982768147,2.527908144
47,0.8876190902,0.6989197055,2.542293774
48,0.8921025306,0.7010671391,2.541835804
49,0.8895501862,0.7022175919,2.552709409
50,0.8942492009,0.7051979589,2.555481702
51,0.8906520775,0.7050387768,2.562846698
52,0.893171049,0.7072749523,2.567186408
53,0.8895037044,0.7077478761,2.577589811
54,0.8927068489,0.7092935979,2.577271984
55,0.8908758047,0.7101223225,2.58513471
56,0.8942509426,0.7122694599,2.587120031
57,0.8916654409,0.7121507908,2.592442968
58,0.893478664,0.713759101,2.595549078
59,0.890834237,0.7140901948,2.603051166
60,0.8931456489,0.7152038065,2.602792537
61,0.8918183631,0.7157898499,2.608451111
62,0.8942625203,0.7173343311,2.609824876
63,0.8923873472,0.7172392679,2.613670133
64,0.8937019276,0.7183925547,2.61585929
65,0.891779028,0.7186156794,2.6212587
66,0.893458914,0.7194186284,2.621031154
67,0.8924896437,0.7198273997,2.625090185
68,0.8942700283,0.7209374046,2.626014529
69,0.8929012798,0.7208585858,2.62879192
70,0.8938592389,0.7216839968,2.630316874
71,0.8924526627,0.7218293638,2.634198321
72,0.893679802,0.7224087824,2.633994462
73,0.8929682808,0.7226908601,2.63689987
74,0.89427061,0.7234883135,2.6375062
75,0.8932669728,0.7234223212,2.639512542
76,0.8939676261,0.724012396,2.640565023
77,0.8929344278,0.7241038941,2.64335354
78,0.8938340955,0.7245223525,2.643172642
79,0.8933098879,0.724715287,2.64524956
80,0.8942653889,0.7252881905,2.645637157
81,0.8935271189,0.7252331036,2.647086988
82,0.8940409383,0.7256546931,2.647807808
83,0.8932797897,0.7257100048,2.649810746
84,0.8939410777,0.7260124665,2.649653187
85,0.8935539102,0.7261434081,2.651136787
86,0.8939051146,0.7263492207,2.651257103
87,0.8935196708,0.7266698494,2.653594485
88,0.8939930001,0.72689073,2.653500884
89,0.8937169515,0.726993027,2.654599736
90,0.8942204754,0.7272956675,2.654805892
91,0.8938314377,0.7272667035,2.655572256
92,0.8941023817,0.7274894003,2.655953628
93,0.8937009665,0.7275186407,2.657012147
94,0.8940498774,0.7276783627,2.656928768
95,0.8938454001,0.7277473846,2.657712758
96,0.8940309257,0.7278560876,2.657775872
97,0.89382709,0.728025035,2.659010346
98,0.8940773772,0.7281417387,2.658959983
99,0.8939312583,0.7281954616,2.659540306
100,0.8941977158,0.7283552989,2.659647605
101,0.8939917739,0.7283397282,2.660052799
102,0.8941351809,0.7284572509,2.660252965
103,0.8939225753,0.7284722895,2.660812109
104,0.8941073511,0.7285567072,2.660766958
105,0.8939989504,0.7285928286,2.661180753
106,0.8940972543,0.7286502395,2.66121325
107,0.8939890826,0.7287389087,2.661864222
108,0.8941217814,0.7288006038,2.661836584
109,0.8940442253,0.7288286753,2.662142768
110,0.8941855416,0.7289130854,2.662197944
111,0.8940762617,0.7289046224,2.66241221
112,0.8941523142,0.7289666126,2.662516815
113,0.8940958833,0.7289704189,2.662664455
114,0.8941791282,0.7290673143,2.662910306
115,0.894100719,0.7290619164,2.663067128
116,0.8941554837,0.7291077566,2.663147883
117,0.8940745586,0.7291144471,2.663365222
118,0.8941450408,0.7291470798,2.663349893
119,0.8941037989,0.7291617021,2.663511379
120,0.8941788633,0.7292062862,2.663539517
121,0.894120778,0.7292016568,2.663652858
122,0.8941611681,0.7292343517,2.663707376
123,0.8941311649,0.7292362552,2.663785353
124,0.8941753593,0.7292872964,2.663914065
125,0.8941336742,0.7292843255,2.663997004
126,0.894162762,0.7293084972,2.664039096
127,0.894119727,0.7293118695,2.664153857
128,0.8941571837,0.7293291316,2.664145338
129,0.8941352405,0.7293367373,2.664230483
130,0.8941551852,0.7293485108,2.664237627
131,0.8941333001,0.7293669878,2.664371821
132,0.894160228,0.7293796094,2.664366652
133,0.8941445132,0.7293855021,2.664429649
134,0.8941732089,0.729402816,2.66444162
135,0.8941510423,0.729401181,2.664485481
136,0.8941664948,0.7294139249,2.664507401
137,0.8941436047,0.7294156175,2.664567991
138,0.8941635137,0.7294247486,2.664563261
139,0.894151837,0.7294287016,2.664608146
140,0.8941624369,0.7294349193,2.664611763
141,0.8941507824,0.7294445794,2.664682418
142,0.8941650967,0.7294512553,2.664679517
143,0.894156733,0.7294543196,2.664712722
144,0.894171985,0.7294634621,2.664718812
145,0.8941601946,0.7294625626,2.664742008
146,0.8941684053,0.7294692813,2.664753417
147,0.8941562273,0.7294701271,2.664785406
148,0.8941668116,0.7294749576,2.664782782
149,0.8941605968,0.7294770108,2.664806444
150,0.8941662312,0.7294802946,2.66480827
151,0.8941600237,0.7294853435,2.664845467
152,0.8941676342,0.7294888748,2.664843843
153,0.8941631822,0.7294904675,2.664861345
154,0.8941712898,0.7294952953,2.664864436
155,0.8941650176,0.7294948008,2.664876704
156,0.894169381,0.7294983431,2.664882639
157,0.8941661411,0.7294985535,2.664891084
158,0.8941709166,0.7295040856,2.664905068
159,0.8941664145,0.7295037685,2.664914045
160,0.8941695573,0.7295063871,2.664918624
161,0.8941649094,0.7295067581,2.664931052
162,0.894168956,0.7295086261,2.664930144
163,0.894166586,0.7295094536,2.664939369
164,0.8941708962,0.7295120031,2.664940935
165,0.8941675593,0.7295117316,2.664947424
166,0.8941698783,0.7295135992,2.66495051
167,0.8941681542,0.7295137035,2.664954969
168,0.894170691,0.7295166162,2.664962281
169,0.8941682958,0.7295164412,2.664967028
170,0.8941699661,0.7295178216,2.664969411
171,0.8941674927,0.7295180075,2.664975972
172,0.8941696444,0.7295189957,2.664975466
173,0.8941683827,0.7295194254,2.664980329
174,0.8941695285,0.7295200986,2.664980724
175,0.8941682693,0.7295211472,2.664988381
176,0.8941698166,0.7295218698,2.664988071
177,0.8941689127,0.7295222028,2.664991668
178,0.8941705615,0.7295231927,2.664992333
179,0.8941692871,0.7295230962,2.664994844
180,0.8941701748,0.729523824,2.664996084
181,0.8941688586,0.7295239168,2.664999548
182,0.8941700028,0.7295244396,2.664999267
183,0.8941693311,0.7295246627,2.66500183
184,0.8941699403,0.7295250183,2.665002029
