iteration,mu,alpha,beta
0,1.15,0.575,1
1,0.5738153931,0.4101387995,1.484077404
2,0.7178463066,0.4909103398,1.279348162
3,0.6124598867,0.5435478955,1.362650508
4,0.6500674516,0.5792276032,1.317241614
5,0.6329405706,0.5843293372,1.390842215
6,0.6613756963,0.6217502084,1.379262469
7,0.6407008582,0.6126480769,1.437520831
8,0.6543185145,0.6369890243,1.448496017
9,0.6363881955,0.6347239557,1.519065418
10,0.6518988739,0.6525160543,1.504153803
11,0.6387824681,0.6627102629,1.593282666
12,0.6552032866,0.6801746961,1.572186572
13,0.6479851577,0.6819272967,1.611228366
14,0.6618045848,0.7003878814,1.604311551
15,0.6522662658,0.6954165895,1.633995425
16,0.6587144067,0.7067186994,1.638973066
17,0.6507785296,0.7051600732,1.672585552
18,0.6578472366,0.7134419001,1.665009401
19,0.6548954667,0.7152974436,1.68545129
20,0.6610557469,0.7244258954,1.68492731
21,0.6570076548,0.7226653893,1.699242374
22,0.6627794456,0.7341225187,1.708195848
23,0.6580866331,0.7313087094,1.722508586
24,0.6611659065,0.7363045504,1.723707761
25,0.6592468769,0.7356836424,1.731359483
26,0.6621652045,0.7421278426,1.73821057
27,0.6599505815,0.740957992,1.745586077
28,0.6614619283,0.7436814816,1.74709793
29,0.6596972012,0.7434009806,1.755219372
30,0.6613089695,0.7453503981,1.753578413
31,0.6606602252,0.7458302006,1.758550103
32,0.6620788768,0.7479828758,1.75858751
33,0.6611698321,0.7475996842,1.761968658
34,0.6624861872,0.7502780736,1.764324692
35,0.6614505021,0.7496700872,1.767604222
36,0.6621324595,0.7508156937,1.768003883
37,0.6613058152,0.7505840918,1.77149729
38,0.662042086,0.7514399901,1.770619687
39,0.6617318375,0.7515758937,1.772696073
40,0.6623750125,0.7524941329,1.772514231
41,0.6619521935,0.7522840812,1.773987964
42,0.6622457162,0.7528375568,1.774367109
43,0.6619146742,0.7528120838,1.776000818
44,0.6622233728,0.7531969571,1.775721215
45,0.6619843205,0.7534257232,1.777753218
46,0.6623174418,0.7537995129,1.777308145
47,0.6621715784,0.7538298408,1.778172066
48,0.6623161329,0.7540252747,1.778093375
49,0.6622166315,0.7542001913,1.779214945
50,0.6623716687,0.7543853492,1.779046201
51,0.6623083428,0.7544243765,1.779510856
52,0.6624445072,0.75462623,1.779497987
53,0.6623566311,0.7545863267,1.779818241
54,0.6624817823,0.7548336337,1.780019609
55,0.6623823754,0.7547734002,1.780329891
56,0.6624469875,0.7548794941,1.780359394
57,0.6624074099,0.7548669504,1.780522433
58,0.6624682286,0.7550026694,1.780674006
59,0.6624231178,0.7549791545,1.780828037
60,0.6624540023,0.7550358592,1.780862839
61,0.6624186281,0.7550312968,1.781031569
62,0.6624512684,0.7550713528,1.780999705
63,0.6624254828,0.7550925367,1.781207368
64,0.6624607472,0.7551316364,1.781158511
65,0.6624451057,0.7551337223,1.7812473
66,0.6624603799,0.7551539792,1.781237611
67,0.6624495536,0.7551706647,1.781351724
68,0.6624659582,0.7551899656,1.781332837
69,0.6624591379,0.755193426,1.781380368
70,0.6624735051,0.7552142561,1.781377391
71,0.6624641399,0.7552097537,1.781410687
72,0.6624707071,0.7552223771,1.781420044
73,0.6624634183,0.7552221084,1.781457138
74,0.6624702818,0.7552307793,1.781451292
75,0.6624650631,0.755236342,1.781497735
76,0.6624724625,0.7552447284,1.781488111
77,0.6624692552,0.7552455733,1.781507762
78,0.6624756908,0.7552543989,1.781504683
79,0.6624713923,0.7552520688,1.781519057
80,0.6624742985,0.7552572728,1.781521876
81,0.6624709161,0.7552566797,1.781537472
82,0.6624740051,0.755260413,1.781534257
83,0.6624727614,0.7552612859,1.781543761
84,0.6624754806,0.7552653845,1.781543736
85,0.6624737402,0.7552646291,1.781550206
86,0.6624762479,0.7552696858,1.781554596
87,0.6624742779,0.755268517,1.781560834
88,0.6624755683,0.7552706757,1.781561561
89,0.6624740041,0.7552702238,1.78156816
90,0.6624753962,0.7552718402,1.781566483
91,0.6624748086,0.7552720854,1.781570396
92,0.6624760248,0.7552738146,1.781570026
93,0.6624752251,0.7552734123,1.781572808
94,0.6624757786,0.7552744504,1.781573507
95,0.6624751537,0.7552743958,1.781576578
96,0.6624757357,0.7552751196,1.781576043
97,0.6624752838,0.7552755401,1.781579853
98,0.6624759119,0.7552762436,1.781579007
99,0.6624756362,0.7552762964,1.781580628
100,0.6624759088,0.7552766635,1.781580475
