iteration,mu,alpha,beta
0,1.02,0.51,1
1,0.5747972793,0.4031883381,1.315260059
2,0.7133272038,0.4930081962,1.131095217
3,0.6118096664,0.4647014638,1.236184141
4,0.6192828834,0.4980407517,1.210727437
5,0.5832832615,0.5008274067,1.259771466
6,0.6070947211,0.5326771057,1.22981731
7,0.5879411213,0.5269979249,1.266171864
8,0.5948855515,0.5820615485,1.309264468
9,0.5806640698,0.5716943703,1.347814184
10,0.5954613812,0.5857327789,1.368707882
11,0.5822630614,0.5791728577,1.410428762
12,0.5919609982,0.5877284778,1.401003159
13,0.5900322784,0.5989454218,1.46795877
14,0.5972824157,0.6054855503,1.460288896
15,0.5947738326,0.6140725697,1.508326033
16,0.600273328,0.6188730597,1.502436371
17,0.5987232001,0.6244177676,1.537946186
18,0.6028022763,0.628012989,1.533336021
19,0.6013040921,0.6320830345,1.558731299
20,0.6043670251,0.6347218388,1.555210834
21,0.6033212331,0.6373973959,1.573710865
22,0.6055939039,0.6393604477,1.570991468
23,0.6046903401,0.6412709299,1.58421623
24,0.6063912091,0.6427156502,1.582141535
25,0.605727108,0.6439798472,1.591710557
26,0.6069918236,0.6450525464,1.590117437
27,0.6067196933,0.6454943097,1.593537466
28,0.607597846,0.6463970854,1.593178517
29,0.6067331836,0.6460300782,1.59596849
30,0.6073353803,0.6465807057,1.595404233
31,0.6071910698,0.647393623,1.599955094
32,0.6076416342,0.6478005663,1.599510889
33,0.6075215374,0.6483615838,1.602769641
34,0.6078583777,0.6486625738,1.602421575
35,0.6077589277,0.649049896,1.604753701
36,0.6080108185,0.6492725007,1.604482307
37,0.6079302309,0.649538676,1.606152379
38,0.6081185414,0.6497034415,1.605941476
39,0.6080535252,0.6498862034,1.60713736
40,0.6081943474,0.6500081872,1.606974033
41,0.6081425516,0.6501331127,1.607830977
42,0.6082478552,0.6502234904,1.607704818
43,0.6082067513,0.6503087042,1.608319035
44,0.6082855166,0.6503756904,1.60822184
45,0.608269337,0.6504046113,1.608442107
46,0.6083242114,0.6504615255,1.608422451
47,0.6082706345,0.6504394604,1.608598842
48,0.608308142,0.6504740037,1.608564957
49,0.6082998834,0.6505271253,1.608857337
50,0.6083279112,0.6505526309,1.608830577
51,0.6083209086,0.6505893559,1.609039483
52,0.6083418559,0.6506082005,1.60901846
53,0.6083360317,0.6506335415,1.609167794
54,0.60835169,0.6506474735,1.609151355
55,0.6083469179,0.650664921,1.60925816
56,0.6083586245,0.6506752274,1.609245355
57,0.6083547595,0.6506872117,1.609321784
58,0.6083635132,0.6506948406,1.609311844
59,0.6083604126,0.6507030497,1.609366566
60,0.6083669593,0.6507087001,1.609358874
61,0.608364491,0.6507143063,1.609398078
62,0.6083693878,0.6507184936,1.609392141
63,0.6083674357,0.6507223088,1.609420244
64,0.608371099,0.6507254136,1.609415672
65,0.6083703312,0.6507267066,1.609425752
66,0.6083728802,0.6507293333,1.609424759
67,0.60837038,0.6507282844,1.6094329
68,0.6083721236,0.6507298825,1.609431289
69,0.6083717188,0.6507322774,1.609444642
70,0.6083730217,0.6507334576,1.609443373
71,0.6083726813,0.650735112,1.609452915
72,0.6083736552,0.6507359842,1.609451919
73,0.6083733739,0.6507371247,1.609458741
74,0.6083741019,0.6507377697,1.609457964
