iteration,mu,alpha,beta
0,1.12,0.56,1
1,0.5956897927,0.3953457128,1.451831088
2,0.747302773,0.4439679287,1.308482145
3,0.7313532915,0.4434767385,1.356534765
4,0.7614389745,0.4570499676,1.359508485
5,0.7442988779,0.4546657436,1.3891881
6,0.7801849507,0.486507675,1.468692762
7,0.7515242962,0.4810657071,1.505482579
8,0.7630154959,0.4898057708,1.51494097
9,0.7492580833,0.4909106263,1.54789647
10,0.7695640742,0.5017765705,1.547206204
11,0.7566070663,0.5002895406,1.568773285
12,0.767667841,0.5127016668,1.593829472
13,0.7504736782,0.5116172889,1.62736622
14,0.7627984576,0.5172525995,1.622795017
15,0.7559035688,0.5227236089,1.660597702
16,0.7716695204,0.530879174,1.658542178
17,0.761600906,0.529434031,1.675293004
18,0.7702404812,0.5383200902,1.692419633
19,0.7634559038,0.5376402071,1.705171036
20,0.7756749627,0.5523058241,1.73842624
21,0.7649779913,0.5500639882,1.754017422
22,0.7693789425,0.5534510552,1.758232363
23,0.7643029218,0.5537999199,1.771904673
24,0.7720627943,0.5580145486,1.771634841
25,0.7671724198,0.5573591736,1.780486177
26,0.7715006885,0.5620357973,1.790452719
27,0.7682039572,0.5617507546,1.797157161
28,0.7743348817,0.5694170792,1.815872654
29,0.769120744,0.5683439146,1.823847465
30,0.7712845221,0.5700836016,1.826278577
31,0.7688253177,0.5703202545,1.833379709
32,0.7726379466,0.5724565715,1.833513345
33,0.7702524553,0.5721581251,1.838048084
34,0.7724033638,0.5745624598,1.843466206
35,0.7691871109,0.5743205338,1.850337886
36,0.7715523252,0.5754198429,1.849400307
37,0.7701729586,0.5763843418,1.857142458
38,0.771778395,0.5771946851,1.856792278
39,0.7700184185,0.5790354863,1.869448848
40,0.7724283342,0.580018936,1.867868063
41,0.7716604893,0.5802203023,1.870691871
42,0.7729136986,0.5810290491,1.871213569
43,0.7713964799,0.5809443299,1.874621494
44,0.7725221268,0.5814812987,1.874233686
45,0.7718742091,0.5819918933,1.878163961
46,0.7726443507,0.5823906941,1.87804072
47,0.7718153099,0.5833509179,1.884470496
48,0.772976369,0.5838315309,1.883736607
49,0.7726076791,0.5839408673,1.885158649
50,0.7732165902,0.5843437257,1.885459054
51,0.7724843274,0.5843127566,1.88715808
52,0.7730307753,0.5845779244,1.886989724
53,0.7727196136,0.5848432141,1.888978085
54,0.7730949653,0.5850410021,1.888933579
55,0.7726966247,0.5855359454,1.892188411
56,0.7732635059,0.5857729936,1.891840244
57,0.77308416,0.5858309189,1.892555794
58,0.7733828996,0.5860322294,1.892720423
59,0.7730254403,0.5860208832,1.893569324
60,0.7732932905,0.5861525281,1.893494309
61,0.7731421433,0.5862892064,1.894498251
62,0.7735109193,0.5864861515,1.894466563
63,0.7732781164,0.5864510736,1.894893424
64,0.7734844834,0.5866637263,1.895342838
65,0.7733267517,0.586646656,1.895662716
66,0.7734728988,0.5868187303,1.896079099
67,0.7732596645,0.5868071859,1.896564366
68,0.773418377,0.5868831586,1.896510624
69,0.7733268539,0.5869555707,1.897072043
