iteration,mu,alpha,beta
0,1.1,0.55,1
1,0.6027950678,0.3920674257,1.374990223
2,0.7422239332,0.4250401313,1.230778759
3,0.727608353,0.4068656849,1.223579852
4,0.7548765197,0.402493338,1.179808032
5,0.7220909108,0.3851071386,1.180863344
6,0.7656274283,0.387717969,1.123497348
7,0.7354962874,0.3771854954,1.132627542
8,0.7527268541,0.368588976,1.070456265
9,0.7136096627,0.3545690317,1.073672219
10,0.735894749,0.3575514304,1.045363426
11,0.6985005109,0.3320211526,0.9794469295
12,0.7234657116,0.3363480874,0.9515931538
13,0.703013751,0.3252346626,0.9272519532
14,0.7269893308,0.3280670365,0.8933323933
15,0.7081953066,0.3221527648,0.8979747958
16,0.7149713927,0.3184026659,0.8615595601
17,0.6917481835,0.3102778473,0.8632827629
18,0.7043476414,0.3121837659,0.8477051931
19,0.6799884306,0.2971808173,0.8126787237
20,0.6954774402,0.3000405816,0.7968932086
21,0.6827580532,0.2930534686,0.7860616568
22,0.6908827164,0.294203102,0.7761419787
23,0.6748946854,0.2835178712,0.7535787469
24,0.6854829525,0.2854601301,0.7431348143
25,0.6767066276,0.2805464429,0.7364135204
26,0.6825507366,0.2813884017,0.7296694692
27,0.6713615448,0.2738407476,0.7154480024
28,0.6792382154,0.2753151537,0.7080749534
29,0.6728266585,0.2718162729,0.704084811
30,0.6773220288,0.2725062876,0.6992695413
31,0.6732038246,0.2698108611,0.6948438221
32,0.6784037412,0.2703468553,0.6882532193
33,0.6744181613,0.2689957038,0.689354101
34,0.676128579,0.2680227381,0.682384893
35,0.6710971667,0.2661423452,0.6830542008
36,0.6740229268,0.2665685784,0.6799006779
37,0.6685861872,0.2628970506,0.6738223709
38,0.6726807808,0.2636738401,0.6702107846
39,0.6710365029,0.2628059481,0.6694285067
40,0.6726524948,0.2627674784,0.6666326197
41,0.6699498488,0.2616829959,0.6667208287
42,0.6730398906,0.2620504692,0.6631545335
43,0.6707300069,0.2612915142,0.663897821
44,0.671827886,0.2608301621,0.6602883903
45,0.6689096727,0.2597796467,0.6608656546
46,0.6706547815,0.2600531109,0.6591232181
47,0.6691092899,0.2590606335,0.6577108374
48,0.6712010013,0.2592995922,0.6552896108
49,0.6696368747,0.2587828298,0.6557805978
50,0.6703802449,0.2584540999,0.6533102045
51,0.6684034187,0.2577366638,0.653681243
52,0.6695865975,0.2579180593,0.6524976313
53,0.6685349168,0.2572317673,0.6515141157
54,0.6699604725,0.2573890798,0.6498590659
55,0.6688943718,0.2570351692,0.6501868943
56,0.6694011192,0.2568018542,0.648487072
57,0.6680532905,0.2563093561,0.6487287852
58,0.6688603963,0.2564308608,0.647919506
59,0.6681410179,0.255955159,0.6472329695
60,0.6691167832,0.2560596477,0.646096181
61,0.668386853,0.2558163164,0.6463166081
62,0.6687335476,0.255651176,0.6451424512
63,0.6678104766,0.2553119132,0.6453012694
64,0.6683632619,0.2553938543,0.6447454267
65,0.6678693092,0.2550635901,0.6442652485
66,0.6685391051,0.2551334221,0.6434817935
67,0.6680377981,0.2549656687,0.6436306935
68,0.6682754949,0.2548489909,0.6428173979
69,0.6676413887,0.254614727,0.6429223152
70,0.6680210115,0.2546702446,0.6425393428
71,0.6676809255,0.2544406935,0.6422030038
72,0.6681415725,0.2544875587,0.641661784
73,0.6677965514,0.2543716928,0.6417626761
74,0.6679597318,0.2542893519,0.6411982362
75,0.667523214,0.2541273222,0.641267773
76,0.6677843948,0.254165057,0.6410033312
77,0.6675497994,0.2540053785,0.6407674977
78,0.6678670163,0.2540369171,0.6403929978
79,0.6676292106,0.2539567852,0.6404614986
80,0.6677413277,0.2538987217,0.6400692297
81,0.6674403925,0.2537865233,0.6401153997
82,0.6676203095,0.2538122267,0.6399325248
83,0.6674582659,0.2537010888,0.6397670438
84,0.6676769053,0.2537223504,0.6395076052
85,0.6675128317,0.2536668811,0.6395541742
86,0.6675899051,0.2536259594,0.6392812947
87,0.6673822309,0.2535482038,0.6393119724
88,0.6675062749,0.2535657373,0.6391853701
89,0.6673942398,0.2534883525,0.6390691975
90,0.6675450268,0.2535027007,0.6388893212
91,0.6674317448,0.2534642787,0.6389210057
92,0.6674847452,0.2534354496,0.6387310487
93,0.6673413293,0.2533815326,0.6387514314
94,0.6674269021,0.2533935044,0.6386637201
95,0.6673493907,0.2533396057,0.6385821373
96,0.667453426,0.2533492936,0.6384573512
97,0.6673751737,0.2533226676,0.6384789182
98,0.6674116274,0.2533023638,0.6383466211
99,0.6673125384,0.2532649615,0.6383601548
100,0.6673715955,0.2532731407,0.6382993552
101,0.6673179438,0.2532355922,0.6382420517
102,0.6673897435,0.2532421344,0.6381554474
103,0.6673356701,0.2532236768,0.6381701307
104,0.6673607458,0.2532093807,0.6380779593
105,0.6672922595,0.253183427,0.6380869353
106,0.6673330287,0.2531890171,0.6380447742
107,0.6672587326,0.2531366952,0.6379642677
108,0.667317577,0.2531476515,0.6379142108
109,0.6672939376,0.2531351812,0.6379042039
110,0.6673182424,0.2531347614,0.6378650747
111,0.6672787591,0.2531190601,0.6378674968
112,0.667301863,0.2531218328,0.6378421397
113,0.6672580414,0.2530886834,0.6377861503
114,0.6672915117,0.2530946128,0.6377565579
115,0.6672639597,0.2530790883,0.6377412069
116,0.6672844728,0.2530821217,0.6377208314
117,0.667266273,0.2530699435,0.6377035166
118,0.6672912708,0.2530725699,0.6376746959
119,0.6672726417,0.2530663595,0.6376803084
120,0.667281614,0.2530620901,0.6376505218
121,0.6672580557,0.253053418,0.6376545659
122,0.6672722236,0.2530554963,0.6376404321
123,0.6672596173,0.2530470111,0.6376282554
124,0.6672768797,0.2530487948,0.6376082437
125,0.6672639993,0.2530444882,0.6376120768
126,0.6672701756,0.2530414797,0.6375913159
127,0.667253884,0.2530354606,0.6375940307
128,0.6672636701,0.2530368844,0.6375842255
129,0.6672549375,0.253030972,0.6375756627
130,0.6672668587,0.2530321829,0.6375617664
131,0.6672579525,0.2530291962,0.6375643837
132,0.6672622041,0.2530270766,0.6375499125
133,0.6672509371,0.2530228986,0.6375517329
134,0.6672576968,0.2530238739,0.6375449302
135,0.6672516472,0.2530197539,0.6375389092
136,0.66725988,0.2530205756,0.6375292587
137,0.6672537215,0.2530185042,0.6375310455
138,0.6672566481,0.2530170111,0.6375209578
139,0.6672488557,0.2530141108,0.6375221771
140,0.667253525,0.2530147789,0.6375174571
141,0.6672493339,0.2530119078,0.6375132237
142,0.6672550195,0.2530124651,0.6375065213
143,0.667250761,0.2530110285,0.6375077408
144,0.6672527753,0.2530099768,0.6375007086
145,0.6672473858,0.2530079634,0.6375015241
146,0.6672506113,0.2530084209,0.637498249
147,0.6672477076,0.2530064201,0.6374952727
148,0.6672516341,0.2530067979,0.6374906176
149,0.6672486892,0.2530058014,0.6374914497
150,0.6672500757,0.2530050608,0.6374865472
151,0.667246348,0.253003663,0.6374870919
152,0.6672485761,0.2530039763,0.6374848192
153,0.6672465642,0.2530025819,0.6374827269
154,0.667249276,0.2530028378,0.6374794936
155,0.6672472395,0.2530021466,0.6374800612
156,0.6672481937,0.2530016252,0.6374766433
157,0.6672456154,0.2530006547,0.6374770065
158,0.6672471545,0.2530008692,0.6374754294
159,0.6672457605,0.2529998974,0.6374739587
160,0.6672476333,0.2530000707,0.6374717129
161,0.667246225,0.2529995912,0.6374720999
162,0.6672468817,0.2529992241,0.637469717
163,0.6672450983,0.2529985503,0.6374699587
164,0.6672461615,0.2529986971,0.6374688643
165,0.6672451956,0.2529980198,0.6374678305
166,0.667246489,0.2529981371,0.6374662705
167,0.667245515,0.2529978045,0.6374665343
168,0.6672459669,0.252997546,0.6374648729
169,0.6672447334,0.2529970782,0.6374650335
170,0.6672454678,0.2529971787,0.637464274
171,0.6672441293,0.2529962346,0.637462821
172,0.6672451898,0.2529964319,0.6374619189
173,0.6672447636,0.2529962069,0.6374617381
174,0.6672452019,0.2529961991,0.6374610325
175,0.66724449,0.2529959159,0.6374610757
176,0.6672449066,0.2529959658,0.6374606185
177,0.6672441164,0.2529953674,0.6374596078
178,0.6672447201,0.2529954743,0.6374590741
179,0.6672442231,0.2529951941,0.6374587968
180,0.6672445931,0.2529952488,0.6374584293
181,0.6672442648,0.2529950289,0.6374581166
182,0.6672447159,0.2529950763,0.6374575966
183,0.6672443797,0.2529949642,0.6374576978
184,0.6672445416,0.252994887,0.6374571602
185,0.6672441165,0.2529947305,0.637457233
186,0.6672443722,0.252994768,0.637456978
187,0.6672441447,0.2529946148,0.6374567581
188,0.6672444562,0.252994647,0.6374563969
189,0.6672442238,0.2529945692,0.6374564661
