iteration,mu,alpha,beta
0,0.965,0.4825,1
1,0.5926966294,0.3816228701,1.24171368
2,0.7134467403,0.4038953833,1.104340423
3,0.6469493429,0.3815838548,1.142361325
4,0.6756862624,0.3555151223,1.004176856
5,0.6131438449,0.335369483,1.026453439
6,0.6710620029,0.3460219563,0.9564286981
7,0.6057270985,0.3254463222,0.9836447046
8,0.6668381291,0.3375747208,0.9143906431
9,0.5987723271,0.3164791986,0.9461091818
10,0.6630884738,0.3300043485,0.8772328912
11,0.6266667676,0.318974145,0.8950006949
12,0.6299497386,0.2971403133,0.7585343824
13,0.6072829488,0.289981517,0.7697547445
14,0.6065085965,0.2753740521,0.6897624817
15,0.5825677955,0.2673459323,0.7007594951
16,0.605459441,0.2724802387,0.6777756107
17,0.5797965041,0.2640752639,0.6905219276
18,0.6046506763,0.2698720149,0.6667248487
19,0.5906942191,0.265407616,0.673982868
20,0.5908971122,0.2571965492,0.6314453738
21,0.5764461329,0.2523433587,0.6382768542
22,0.5905021766,0.2555724167,0.6248443653
23,0.5825627302,0.252977941,0.6288459887
24,0.5822084599,0.2422853762,0.5795101677
25,0.5742830826,0.239889903,0.5844432901
26,0.5751148917,0.239554622,0.5815829569
27,0.5731647185,0.2387452285,0.5818835081
28,0.574911771,0.2389915247,0.579643303
29,0.5727558462,0.2381464633,0.5801619637
30,0.5747374567,0.238479516,0.5778341778
31,0.5723499737,0.2375887998,0.5785845903
32,0.5745951108,0.2380143738,0.5761449287
33,0.5719462453,0.2370674452,0.5771432287
34,0.5744870903,0.2375926667,0.5745650675
35,0.5715427824,0.2365781737,0.5758302626
36,0.5744153632,0.2372115765,0.5730843903
37,0.5711369676,0.2361171638,0.5746387415
38,0.5727570831,0.236492673,0.5731639927
39,0.5695305227,0.2330581948,0.5645398289
40,0.5710016829,0.2334393028,0.5633933643
41,0.5705046017,0.233042474,0.5627120642
42,0.5711011187,0.2331571002,0.5620815925
43,0.5703999274,0.2329086111,0.5623536644
44,0.5710786452,0.2330504848,0.561682776
45,0.5702947471,0.232782678,0.5620272671
46,0.5710658455,0.2329542932,0.5613078677
47,0.5706268806,0.2328089689,0.5615195203
48,0.5706106402,0.2321221904,0.5586916369
49,0.5701791632,0.2319925258,0.5589530671
50,0.5702427118,0.231945244,0.5586335125
51,0.5700385571,0.2318739035,0.5587155546
52,0.5702368732,0.2319162605,0.5585231426
53,0.5700083687,0.2318390954,0.5586262813
54,0.5702339784,0.231890111,0.5584193139
55,0.570105893,0.2318481143,0.5584823906
56,0.5701074003,0.2316609489,0.5576983255
57,0.5699815451,0.2316232145,0.5577752115
58,0.5700013091,0.2316103632,0.5576864514
59,0.5699422311,0.2315898784,0.5577110359
60,0.5699999826,0.2316023887,0.5576559601
61,0.569933786,0.2315801945,0.557686617
62,0.5699666238,0.2315877037,0.5576569256
63,0.569897926,0.2315143203,0.5574802565
64,0.5699313977,0.2315230717,0.5574544931
65,0.5699194726,0.2315145484,0.5574409424
66,0.5699341145,0.2315175613,0.5574262849
67,0.5699170962,0.2315117149,0.5574335495
68,0.5699337753,0.2315153817,0.5574178361
69,0.5699147032,0.2315090361,0.5574268414
70,0.569924187,0.2315112289,0.5574183573
71,0.5699047148,0.231490892,0.5573698993
72,0.569914397,0.2314934292,0.5573624905
73,0.5699110286,0.2314910335,0.5573588494
74,0.5699152762,0.2314919216,0.5573546663
75,0.5699103647,0.2314902466,0.5573568218
76,0.5699152003,0.2314913229,0.5573523285
77,0.5699124467,0.2314904127,0.5573536559
78,0.569912362,0.2314861155,0.5573360115
79,0.569909658,0.2314853031,0.55733765
80,0.5699100556,0.2314850047,0.5573356603
81,0.5699087873,0.2314845609,0.5573361679
82,0.5699100197,0.2314848233,0.5573349717
83,0.5699085994,0.2314843431,0.5573356107
84,0.5699100021,0.2314846596,0.5573343237
85,0.5699092057,0.2314843982,0.557334715
86,0.569909215,0.2314832248,0.5573298208
87,0.5699084326,0.2314829903,0.5573302982
