iteration,mu,alpha,beta
0,0.995,0.4975,1
1,0.5909826313,0.38675888,1.313703224
2,0.7469928359,0.4331156494,1.19935515
3,0.6623191123,0.4106217109,1.285135628
4,0.6813881554,0.4181365928,1.295015301
5,0.6674153719,0.4169582319,1.332825864
6,0.6880684687,0.4257332185,1.336897483
7,0.6698580322,0.4240929203,1.374945948
8,0.6932599306,0.4339389682,1.373426681
9,0.6706510048,0.4313311107,1.413100082
10,0.6978262909,0.442261899,1.405738886
11,0.6702840232,0.4382814374,1.448289833
12,0.7022760978,0.4504478751,1.434476052
13,0.685420354,0.4475752563,1.457636962
14,0.7072876247,0.480932693,1.561176606
15,0.6914522288,0.4777420377,1.581115452
16,0.7003648,0.4893970435,1.609835635
17,0.6865188183,0.4872395922,1.631549499
18,0.6944613783,0.4903085465,1.62733014
19,0.6912284446,0.50245013,1.690636017
20,0.697048943,0.5045982296,1.6869305
21,0.6939668836,0.5114270297,1.725657513
22,0.6985375711,0.5130107665,1.722269171
23,0.6971393239,0.5147786976,1.734152875
24,0.7006930377,0.5162310143,1.732540121
25,0.698808014,0.5159005793,1.735456949
26,0.7011851339,0.5198199149,1.748269771
27,0.6994895938,0.5194520459,1.750587558
28,0.7004589712,0.5206399688,1.75397603
29,0.6990511203,0.5204190394,1.756303318
30,0.6998708068,0.520739926,1.755862025
31,0.6994383906,0.521960715,1.762722241
32,0.7001496953,0.5222132366,1.762215738
33,0.6999181963,0.5225268589,1.764280172
34,0.700511061,0.5227720035,1.764023255
35,0.7001973511,0.5227178425,1.764520331
36,0.7005989991,0.5233892118,1.766763699
37,0.7003173256,0.5233286831,1.767153853
38,0.7004780296,0.5235318679,1.767741206
39,0.7002457482,0.5234964158,1.768132264
40,0.7003814442,0.5235500403,1.768061504
41,0.7003101371,0.5237592821,1.769236777
42,0.7004295811,0.5238018487,1.769152278
43,0.7003903416,0.5238555362,1.769504795
44,0.7004909625,0.5238972108,1.769461488
45,0.7004377385,0.52388804,1.769546131
46,0.7005060419,0.5240023913,1.769929521
47,0.7004582617,0.5239921368,1.769995831
48,0.7004855075,0.524026739,1.770096029
49,0.7004461477,0.524020754,1.770162467
50,0.700469153,0.5240298568,1.770150523
51,0.700457063,0.524065487,1.770350707
52,0.7004773612,0.5240727238,1.770336355
53,0.7004706794,0.5240818628,1.770396369
54,0.7004878092,0.5240889568,1.770388993
55,0.7004787483,0.5240873948,1.770403405
56,0.7004903765,0.5241068533,1.770468661
57,0.7004822427,0.5241051073,1.77047995
58,0.7004868792,0.5241109957,1.770496997
59,0.7004801799,0.5241099765,1.770508305
60,0.7004840957,0.5241115257,1.770506271
61,0.700482036,0.5241175863,1.770540334
62,0.7004854924,0.5241188184,1.770537889
63,0.7004843538,0.5241203726,1.770548101
64,0.7004872715,0.5241215804,1.770546843
65,0.700485728,0.5241213141,1.770549297
66,0.7004877081,0.5241246247,1.770560396
67,0.7004863226,0.5241243272,1.770562318
68,0.7004871121,0.5241253291,1.770565217
69,0.7004859709,0.5241251553,1.770567142
70,0.7004866379,0.524125419,1.770566796
