iteration,mu,alpha,beta
0,0.965,0.4825,1
1,0.5927209284,0.3808509957,1.273544865
2,0.7215965005,0.4077539421,1.194342414
3,0.6610127196,0.3899426105,1.25484944
4,0.6878925352,0.3872703199,1.285295821
5,0.6702693626,0.3821600902,1.317496839
6,0.6952089066,0.3871590289,1.31534031
7,0.6744727393,0.3829358055,1.346443174
8,0.7003720027,0.3889745514,1.341453118
9,0.6768608374,0.385044383,1.372662067
10,0.7044037397,0.3918905762,1.365146954
11,0.6781364234,0.3878939166,1.397279542
12,0.7078593491,0.3954507134,1.387291654
13,0.6786749764,0.3911468729,1.420957446
14,0.7110583826,0.3993945842,1.408381303
15,0.6946784576,0.3969919577,1.426122031
16,0.7263025129,0.4324909643,1.59558986
17,0.7061356586,0.4297533714,1.614819362
18,0.7134200936,0.4405561671,1.641635789
19,0.7003352627,0.4395708277,1.661236002
20,0.715096934,0.4442345556,1.658464609
21,0.700057683,0.4427961717,1.679482536
22,0.7169089799,0.4478439813,1.674744271
23,0.6995870946,0.4458869324,1.697439719
24,0.7188789068,0.4513934648,1.690417966
25,0.7088135445,0.4501142428,1.702717225
26,0.7285381775,0.4791187397,1.826437677
27,0.7140827072,0.4767244623,1.841315552
28,0.7173994575,0.4796140884,1.850120998
29,0.712924906,0.4797232209,1.859509623
30,0.7181724134,0.4818236023,1.86053445
31,0.7128615011,0.481706388,1.870424826
32,0.7190093717,0.483946089,1.87044319
33,0.7127025822,0.483573441,1.880970468
34,0.7199217281,0.4859918446,1.879830565
35,0.7124296102,0.4853269513,1.891161097
36,0.7209256334,0.4879697371,1.888683921
37,0.7120221266,0.4869673105,1.901019163
38,0.7170144367,0.4884256211,1.899004131
39,0.7130956771,0.5008548004,1.976541262
40,0.7196527108,0.5024884178,1.972048688
41,0.7177188601,0.5040525503,1.984100901
42,0.721916643,0.5053582682,1.982748976
43,0.7196935655,0.505097607,1.985839752
44,0.7220441214,0.5088463131,2.001823692
45,0.7203286935,0.5086433103,2.004207215
46,0.7221369853,0.5115147052,2.016359662
47,0.7208035255,0.5113527786,2.018202769
48,0.722208573,0.5135269803,2.027394672
49,0.7211652443,0.5133970896,2.028819299
50,0.7222514178,0.5150476534,2.035692241
51,0.7214320661,0.5149417881,2.036797077
52,0.7222819375,0.5161797672,2.041939643
53,0.7216358399,0.5160939397,2.042795238
54,0.7222940884,0.5170309603,2.046597353
55,0.7217839836,0.5169604484,2.047262827
56,0.7223022541,0.5176583547,2.050092976
57,0.7218983343,0.5176011772,2.050609046
58,0.7222995093,0.5181302661,2.052682518
59,0.7219798258,0.5180831942,2.053085134
60,0.7221387968,0.5182788351,2.053855994
61,0.7219050604,0.5182653171,2.05426476
62,0.7221749151,0.5183572324,2.054215627
63,0.7218904603,0.5183307988,2.05465791
64,0.7220528851,0.5183815196,2.054602815
65,0.7219697921,0.5186215963,2.056106324
66,0.7220976744,0.5186607921,2.056058832
67,0.7220300112,0.5188376427,2.057180287
68,0.7221308528,0.5188679886,2.057139657
69,0.7220757423,0.5189981741,2.057975785
70,0.7221553616,0.5190216982,2.057941303
71,0.7221105905,0.5191173428,2.058564916
72,0.7221735081,0.5191356092,2.058535835
73,0.7221371292,0.5192058722,2.05900079
74,0.722186888,0.5192200688,2.058976431
75,0.7221574272,0.5192715586,2.05932337
76,0.7221967973,0.5192826103,2.059303061
77,0.7221729197,0.51932037,2.059561817
78,0.722204087,0.5193289779,2.059544981
79,0.7221944504,0.5193427744,2.059641602
80,0.7222179246,0.5193512151,2.059639769
81,0.7221933278,0.5193493729,2.059680533
82,0.7222215874,0.5193586149,2.059673227
83,0.7221916499,0.5193554371,2.059717652
84,0.7222086814,0.519360573,2.05971084
85,0.7221993612,0.5193827123,2.059852985
86,0.7222128481,0.519386701,2.059847156
87,0.7222052433,0.5194029507,2.059953072
88,0.7222159256,0.5194060517,2.059948132
89,0.7222097356,0.519417969,2.060027079
90,0.722218198,0.5194203823,2.060022925
91,0.7222131707,0.5194291147,2.060081793
92,0.7222198754,0.5194309945,2.060078324
93,0.7222158006,0.5194373873,2.060122237
94,0.7222211134,0.5194388531,2.060119355
95,0.722219465,0.5194411907,2.060135741
96,0.7222234691,0.5194426267,2.060135408
97,0.722219272,0.5194423085,2.060142343
98,0.7222240929,0.5194438815,2.060141076
99,0.7222215386,0.5194436086,2.060144857
100,0.7222243503,0.5194484209,2.060165727
101,0.7222223219,0.5194481898,2.060168649
102,0.7222245139,0.5194517769,2.060184006
103,0.7222229033,0.5194515827,2.060186268
104,0.7222246138,0.5194542576,2.060197562
105,0.722223335,0.5194540956,2.060199314
106,0.7222246708,0.5194560912,2.060207616
107,0.7222236555,0.5194559568,2.060208975
