iteration,mu,alpha,beta
0,0.4449314766,0.1862674019,0.3158872493
1,0.4449310563,0.1862670996,0.3158874526
2,0.4449312414,0.18626714,0.3158867744
3,0.4449308693,0.1862668701,0.3158869395
4,0.444931021,0.1862668935,0.3158863226
5,0.4449306913,0.1862666521,0.3158864549
6,0.4449308144,0.1862666615,0.3158858929
7,0.4449305219,0.1862664453,0.3158859973
8,0.4449306206,0.186266443,0.3158854845
9,0.4449303609,0.1862662491,0.315885565
10,0.4449304386,0.1862662371,0.3158850963
11,0.4449302078,0.186266063,0.3158851565
12,0.4449302677,0.186266043,0.3158847275
13,0.4449300623,0.1862658864,0.3158847706
14,0.4449301071,0.1862658601,0.3158843773
15,0.444929924,0.186265719,0.315884406
16,0.444929988,0.1862656561,0.3158836837
17,0.4449296455,0.1862654173,0.3158838972
18,0.4449297403,0.1862654534,0.3158836471
19,0.4449295329,0.1862652771,0.3158835758
20,0.4449296127,0.186265305,0.3158833498
21,0.4449294255,0.1862651439,0.3158832726
22,0.4449295589,0.1862651856,0.3158828634
23,0.444929323,0.1862650173,0.3158829864
24,0.4449294341,0.1862650472,0.3158826154
25,0.4449292254,0.1862648971,0.3158827162
26,0.4449293172,0.186264917,0.3158823793
27,0.4449291325,0.186264783,0.3158824612
28,0.4449292077,0.1862647945,0.3158821547
29,0.444929044,0.1862646747,0.3158822203
30,0.444929105,0.1862646792,0.3158819411
31,0.4449289598,0.1862645719,0.3158819928
32,0.4449290087,0.1862645706,0.3158817381
33,0.4449288797,0.1862644743,0.3158817779
34,0.4449289182,0.1862644683,0.3158815451
35,0.4449288036,0.1862643818,0.3158815749
36,0.4449288333,0.1862643718,0.3158813618
37,0.4449287313,0.186264294,0.3158813831
38,0.4449287534,0.1862642809,0.3158811877
39,0.4449286626,0.1862642108,0.3158812018
40,0.4449286942,0.1862641794,0.315880843
41,0.4449285241,0.1862640609,0.3158809489
42,0.4449285712,0.1862640787,0.3158808247
43,0.4449284682,0.1862639912,0.3158807892
44,0.4449285077,0.186264005,0.3158806769
45,0.4449284147,0.1862639249,0.3158806384
46,0.444928481,0.1862639456,0.3158804352
47,0.4449283638,0.186263862,0.3158804962
48,0.4449284189,0.1862638768,0.3158803119
49,0.4449283153,0.1862638023,0.3158803619
50,0.4449283608,0.1862638121,0.3158801945
51,0.4449282691,0.1862637455,0.3158802351
