iteration,mu,alpha,beta
0,1.35,0.675,1
1,0.5432832971,0.4058338664,1.732804732
2,0.8327434208,0.5700599173,1.211728433
3,0.7159753431,0.5527403592,1.274155904
4,0.7183356574,0.5952642653,1.195781004
5,0.6375165685,0.5940917639,1.232156777
6,0.6576298513,0.6354669525,1.158763752
7,0.6292866022,0.6178960388,1.204014058
8,0.6364690564,0.6397081268,1.16955519
9,0.6219531225,0.6314438042,1.193626189
10,0.6250074321,0.6437907475,1.17635725
11,0.6171598669,0.6398023518,1.190205974
12,0.6186486707,0.6471264187,1.181396738
13,0.6142874488,0.6452552617,1.189823677
14,0.6150978099,0.649758935,1.185426551
15,0.6126469553,0.6489760691,1.190792367
16,0.6131295599,0.651836072,1.188758254
17,0.6117529206,0.6516166927,1.192317187
18,0.612062382,0.6534921186,1.191552684
19,0.6112974811,0.6535577223,1.19400647
20,0.6117195034,0.656103154,1.193815988
21,0.6106784245,0.6552262543,1.197430576
22,0.6113983756,0.6568148758,1.196146993
23,0.6108138832,0.6564255928,1.198512473
24,0.6112573925,0.657470382,1.197989761
25,0.6109363731,0.6573473572,1.199586421
26,0.6112153521,0.6580560835,1.199474401
27,0.610875591,0.6580897647,1.201703959
28,0.6114053572,0.6590667208,1.200787878
29,0.6110576389,0.6587402534,1.202297099
30,0.6113805809,0.6593758443,1.201888194
31,0.6111888973,0.6592430188,1.202889618
32,0.6113889002,0.6596689111,1.202758407
33,0.6112868306,0.6596405936,1.203444431
34,0.6115396498,0.6602304344,1.203474329
35,0.6113109592,0.659985966,1.204432032
36,0.611526022,0.6603831424,1.204118605
37,0.6113988507,0.6602725388,1.204744547
38,0.6115308092,0.6605348351,1.204621389
39,0.6114620606,0.6604976215,1.205043132
40,0.6115444681,0.6606764044,1.205022139
41,0.6114736359,0.6606794676,1.205609732
42,0.6116143058,0.660929998,1.205377968
43,0.6115284172,0.6608452562,1.205770304
44,0.6116141063,0.6610084048,1.205668239
45,0.6115670204,0.6609741238,1.205928561
46,0.6116200338,0.6610836139,1.20589725
47,0.6115951669,0.6610765126,1.206075632
48,0.6116620906,0.6612284244,1.206087108
49,0.6116040694,0.6611660869,1.206334318
50,0.6116596585,0.6612683074,1.206255292
51,0.6116274801,0.6612403434,1.206416987
52,0.6116615965,0.6613079309,1.206386543
53,0.6116442646,0.6612987699,1.206495607
54,0.6116655789,0.6613449089,1.206491162
55,0.6116478256,0.6613463778,1.206643301
56,0.6116839424,0.6614108106,1.206584666
57,0.6116620746,0.6613894055,1.20668573
58,0.6116840865,0.6614314168,1.206660201
59,0.6116721249,0.6614228938,1.20672735
60,0.6116857532,0.6614511312,1.20671984
61,0.6116794579,0.6614495296,1.206765925
62,0.6116966791,0.6614887737,1.206769707
63,0.6116818903,0.6614730065,1.206833271
64,0.6116961371,0.6614992956,1.206813395
65,0.6116879484,0.6614922934,1.206855031
66,0.6116966989,0.6615097029,1.206847528
67,0.611692299,0.6615074862,1.206875659
68,0.6116977717,0.661519392,1.206874759
69,0.6116932838,0.6615199798,1.206914071
70,0.6117025312,0.6615365334,1.20689927
71,0.6116969621,0.6615311465,1.206925262
72,0.6117026022,0.6615419564,1.206918894
73,0.6116995615,0.6615398489,1.206936192
74,0.6117030569,0.6615471274,1.206934405
75,0.6117014615,0.6615467778,1.206946299
76,0.6117058839,0.6615569125,1.206947488
77,0.6117021161,0.6615529311,1.206963819
78,0.6117057641,0.6615596888,1.206958828
79,0.6117036808,0.6615579395,1.206969542
80,0.6117059233,0.6615624223,1.206967699
81,0.6117048066,0.6615618894,1.206974951
82,0.6117062107,0.6615649609,1.206974784
83,0.6117050763,0.6615651674,1.206984938
84,0.611707443,0.661569419,1.206981206
85,0.6117060252,0.661568065,1.206987888
86,0.6117074699,0.6615708459,1.206986302
87,0.6117066972,0.6615703261,1.206990758
88,0.6117075934,0.661572202,1.206990336
89,0.6117071892,0.6615721284,1.206993405
90,0.6117083246,0.6615747456,1.206993767
91,0.6117073649,0.6615737409,1.206997962
92,0.6117082988,0.6615754779,1.20699671
93,0.6117077689,0.6615750414,1.206999467
94,0.6117083436,0.6615761957,1.206999016
95,0.6117080602,0.6615760683,1.207000885
96,0.6117084204,0.6615768607,1.207000859
97,0.6117081338,0.6615769282,1.207003482
98,0.6117087395,0.6615780201,1.207002541
99,0.6117083786,0.6615776801,1.207004259
100,0.6117087486,0.6615783955,1.207003865
101,0.6117085523,0.6615782676,1.207005012
102,0.6117087821,0.6615787511,1.207004913
103,0.6117086797,0.6615787364,1.207005706
104,0.6117089712,0.6615794123,1.207005813
105,0.6117087268,0.6615791589,1.207006891
106,0.6117089659,0.6615796054,1.207006577
107,0.6117088311,0.6615794966,1.207007287
108,0.6117089784,0.6615797938,1.207007176
