iteration,mu,alpha,beta
0,1,0.5,1
1,0.6072760191,0.380758712,1.279153621
2,0.7889397853,0.398651342,1.12947832
3,0.6913165737,0.3669130421,1.193351406
4,0.7616525141,0.3432326778,1.128795189
5,0.7191165336,0.3299416799,1.146957939
6,0.7725713614,0.2945532901,1.057863559
7,0.7359772675,0.287063226,1.067015901
8,0.7664150275,0.2699642521,0.9838996324
9,0.7372376142,0.2647837935,0.989502924
10,0.7562063396,0.2537484123,0.9218205091
11,0.7347862641,0.2500534996,0.924969005
12,0.7459092735,0.241751076,0.8722542081
13,0.7176121675,0.2366315987,0.8745863936
14,0.7481892493,0.2382751683,0.851936854
15,0.7297262936,0.2353315733,0.8552534779
16,0.7385859211,0.2295346905,0.8172835855
17,0.7161242175,0.2256147675,0.819622579
18,0.7403775939,0.2269624166,0.8027938696
19,0.7259346224,0.224713494,0.8055155701
20,0.7324738757,0.2203426439,0.7782943941
21,0.7161878421,0.2174736307,0.7798329344
22,0.7337659374,0.2183639961,0.7678668442
23,0.7234049845,0.2167341981,0.7696968369
24,0.7322616608,0.2099295042,0.7309468849
25,0.7206900253,0.2083448179,0.7339361243
26,0.7263275606,0.2061973804,0.7202539836
27,0.7203561881,0.2052707496,0.7213267605
28,0.7254446413,0.2012243289,0.7005612674
29,0.7193053224,0.2003770035,0.7020392809
30,0.7221208619,0.1990390524,0.6945329302
31,0.7162670841,0.1980809364,0.6953417162
32,0.7226931903,0.1984078617,0.691608305
33,0.7190299661,0.1978657124,0.6923293086
34,0.7222006701,0.1956295515,0.681161276
35,0.7186044225,0.1951446486,0.682031356
36,0.7202249732,0.194387943,0.6779091982
37,0.7169345153,0.1938529875,0.6783535005
38,0.720555003,0.1940288335,0.6762922035
39,0.7185025956,0.1937268666,0.6766867059
40,0.7202661284,0.1924423048,0.670487732
41,0.7183090786,0.192177114,0.6709430065
42,0.7191749441,0.1917338034,0.6686350965
43,0.7174288512,0.1914424637,0.6688346521
44,0.7193505591,0.1915246793,0.6677212494
45,0.7182635729,0.1913612849,0.6679118588
46,0.7191857612,0.1906066705,0.6644080836
47,0.7181669501,0.1904652203,0.6646283456
48,0.719054447,0.1899369389,0.6620141803
49,0.7181021486,0.1898130661,0.6622493784
50,0.7185239049,0.1896299698,0.6612633209
51,0.717689188,0.1894974849,0.6613806908
52,0.7186102794,0.1895420473,0.66087486
53,0.7180911929,0.1894672204,0.6609756238
54,0.7185365782,0.1891501856,0.6594787647
55,0.7180554418,0.1890854036,0.6595886182
56,0.7182656748,0.1889740841,0.6590252405
57,0.7178466909,0.1889034918,0.6590685003
58,0.7183083355,0.1889215847,0.6588006461
59,0.7177876782,0.1888426902,0.6588868965
60,0.7180753441,0.1888582789,0.6587359128
61,0.7177890822,0.1886239883,0.6580791331
62,0.7180533855,0.1886407181,0.6579495536
63,0.7177946364,0.1884641753,0.6574865277
64,0.7180373337,0.1884812944,0.6573741753
65,0.717920002,0.1884143419,0.6572126078
66,0.7181281667,0.1884229792,0.6570940922
67,0.7178936197,0.188387984,0.6571346992
68,0.7180232987,0.1883952255,0.6570677132
69,0.7178948953,0.1882934872,0.6567862417
70,0.7180140898,0.1883011872,0.6567285606
71,0.7179559191,0.1882627678,0.6566293189
72,0.7180581826,0.1882658069,0.6565667474
73,0.7179427476,0.1882474427,0.6565824996
74,0.7180701932,0.1882534289,0.6565126073
75,0.7179984703,0.1882430717,0.6565262591
76,0.7180598376,0.1881982861,0.6563174836
77,0.7179939023,0.1881893656,0.6563322328
78,0.7180512376,0.1881577195,0.6561746955
79,0.7179906247,0.1881499598,0.6561898658
80,0.7180173114,0.1881389064,0.6561300546
81,0.7179649313,0.1881307146,0.6561377068
82,0.7180227913,0.1881335645,0.6561064933
83,0.7179902467,0.1881289312,0.6561129226
84,0.7180181879,0.1881096344,0.6560219488
