iteration,mu,alpha,beta
0,1.04,0.52,1
1,0.5959419971,0.3901503138,1.350966665
2,0.6954339955,0.4186001382,1.255392503
3,0.6949708396,0.4136497235,1.280810994
4,0.7023136712,0.4153411531,1.277762551
5,0.7028112565,0.4145798213,1.290163946
6,0.7074715406,0.4159599948,1.290285507
7,0.7032807316,0.4151015652,1.297604988
8,0.706286697,0.4160586529,1.296565471
9,0.7056647808,0.4172805837,1.309228907
10,0.7077036448,0.4180578742,1.308301511
11,0.706417302,0.4195872805,1.316141551
12,0.7079034582,0.4201487198,1.315499665
13,0.707038684,0.4212390727,1.321429807
14,0.7081208825,0.4216510072,1.32096823
15,0.7074880992,0.422463185,1.325351706
16,0.7082799159,0.4227657485,1.325017885
17,0.7078184098,0.4233669645,1.328262595
18,0.708399435,0.4235896026,1.328019539
19,0.708061314,0.4240343921,1.330419344
20,0.7084885843,0.4241984174,1.330241531
21,0.7082402069,0.4245272105,1.332015696
22,0.7085549038,0.4246481623,1.331885146
23,0.7083720806,0.4248910756,1.333196345
24,0.7086041311,0.4249803238,1.333100244
25,0.7084693598,0.425159716,1.334069052
26,0.7086406135,0.4252256025,1.33399817
27,0.7085411551,0.4253580449,1.334713868
28,0.7086676194,0.4254067021,1.334661512
29,0.7085941616,0.4255044609,1.335190158
30,0.7086875935,0.4255404038,1.335151444
31,0.7086333065,0.4256125502,1.335541887
32,0.7087023574,0.4256391062,1.335513239
33,0.7086622204,0.4256923443,1.335801588
34,0.7087132653,0.4257119677,1.335780376
35,0.7086835804,0.4257512495,1.335993316
36,0.7087213215,0.4257657517,1.335977604
37,0.7086993616,0.4257947339,1.33613485
38,0.7087272701,0.4258054522,1.336123208
39,0.708711022,0.4258268344,1.336239323
40,0.7087316617,0.4258347566,1.336230694
41,0.7087196381,0.4258505311,1.336316436
42,0.7087349033,0.4258563868,1.33631004
43,0.7087260051,0.425868024,1.336373352
44,0.7087372958,0.4258723524,1.33636861
45,0.7087307101,0.4258809372,1.33641536
46,0.7087390615,0.4258841368,1.336411844
47,0.7087341871,0.4258904698,1.336446364
48,0.7087403646,0.4258928349,1.336443757
49,0.7087367567,0.4258975067,1.336469246
50,0.7087413262,0.4258992551,1.336467313
51,0.7087386556,0.4259027013,1.336486134
52,0.7087420358,0.4259039938,1.336484701
53,0.708740059,0.4259065359,1.336498597
54,0.7087425594,0.4259074914,1.336497535
55,0.7087410961,0.4259093667,1.336507796
56,0.7087429458,0.425910073,1.336507008
57,0.7087418626,0.4259114563,1.336514584
58,0.7087432309,0.4259119784,1.336514
59,0.7087424291,0.4259129989,1.336519594
60,0.7087434413,0.4259133849,1.336519161
61,0.7087428477,0.4259141376,1.336523292
62,0.7087435965,0.4259144229,1.336522971
63,0.7087431571,0.4259149782,1.336526021
64,0.708743711,0.4259151891,1.336525782
