iteration,mu,alpha,beta
0,1.145,0.5725,1
1,0.5927209484,0.3978221736,1.433793253
2,0.7549832081,0.4507166319,1.238278611
3,0.7133978929,0.4392499108,1.236198133
4,0.7318936514,0.4452896025,1.201239818
5,0.7023971465,0.4333852104,1.167333283
6,0.7165226585,0.4369385837,1.141854865
7,0.6975386005,0.4238675468,1.117806379
8,0.7086804473,0.4263117601,1.097911452
9,0.6944055188,0.4146555302,1.07854671
10,0.7033552758,0.4164781344,1.062528032
11,0.6918847061,0.4065124425,1.046344998
12,0.6991899855,0.4079327076,1.033218376
13,0.6897063583,0.399472052,1.019552109
14,0.6957548086,0.4006116262,1.008660326
15,0.6877949,0.3934177256,0.9970770952
16,0.6928647316,0.3943529143,0.9879498903
17,0.6861167782,0.388214547,0.9781121791
18,0.6904111872,0.3889964249,0.9704005538
19,0.6846469007,0.3837389605,0.9620314695
20,0.6883171392,0.3844030278,0.9554702262
21,0.6833622676,0.3798840485,0.9483396486
22,0.6865230269,0.3804556323,0.942723609
23,0.6822413448,0.3765588704,0.9366396717
24,0.6849811045,0.3770564258,0.9318076932
25,0.6812643294,0.3736864749,0.9266101575
26,0.6836524306,0.3741237051,0.9224340192
27,0.6804133477,0.3712017992,0.9179888006
28,0.6825049123,0.3715890596,0.9143652895
29,0.6796724818,0.3690497741,0.9105599184
30,0.6815118976,0.369395023,0.9074050872
31,0.6790276801,0.3671837001,0.9041449689
32,0.6806511107,0.3674931541,0.9013899015
33,0.6784666078,0.3655638845,0.89859525
34,0.6799038299,0.3658424774,0.8961828942
35,0.6779784745,0.3641565085,0.8937862254
36,0.6792542422,0.3644082161,0.8916689927
37,0.6775538613,0.3629326872,0.8896130743
38,0.6786889329,0.3631607613,0.8877509988
39,0.677184556,0.3618676917,0.8859871718
40,0.6781964772,0.3620748293,0.8843464827
41,0.6768634041,0.3609403033,0.8828332827
42,0.6777671113,0.3611287713,0.8813852852
43,0.6765841746,0.3601322777,0.8800873061
44,0.6773924652,0.3603040052,0.8788074966
45,0.6763414411,0.3594278973,0.8776944503
46,0.6770653446,0.3595845448,0.8765618099
47,0.6761304785,0.3588135978,0.8756077451
48,0.6767795503,0.358956609,0.8746041706
49,0.675947172,0.3582776543,0.8737868215
50,0.67652973,0.3584082965,0.8728966638
51,0.6757879378,0.3578099176,0.8721969043
52,0.6763112536,0.3579293118,0.8714065911
53,0.6756496545,0.3574015908,0.8708079759
54,0.6761201091,0.3575107358,0.8701057014
55,0.6755296034,0.3570450406,0.869594079
56,0.6759528156,0.3571448318,0.8689695458
57,0.6754254159,0.3567336364,0.8685327309
58,0.6758063483,0.3568248805,0.8679769361
59,0.6753350291,0.3564616137,0.8676044313
60,0.6756780767,0.3565450405,0.8671094865
61,0.6752566456,0.3562239566,0.8667922451
62,0.6755657103,0.3563002288,0.866351225
63,0.6751887001,0.3560162979,0.8660814492
64,0.675467253,0.3560860188,0.8656882626
65,0.6752985199,0.3559604034,0.8655737389
66,0.6754653799,0.355961357,0.86516571
67,0.6751464153,0.3557868646,0.8652155184
68,0.6753434347,0.3558320822,0.8649202045
69,0.6750944219,0.3556346703,0.8647002073
70,0.6752722154,0.3556762112,0.8644369102
71,0.6750493214,0.3555016153,0.8642489652
72,0.6752097966,0.3555397571,0.8640141145
73,0.6750102089,0.3553852889,0.8638537565
74,0.6751550773,0.3554202899,0.8636441966
75,0.6749763009,0.3552835845,0.8635075698
76,0.6751070995,0.3553156853,0.8633205083
77,0.6749469165,0.3551946615,0.8632042827
78,0.6750650265,0.3552240861,0.8630372465
79,0.6749214635,0.3551169123,0.8629385462
80,0.675028127,0.3551438692,0.8627893426
81,0.6749637736,0.3550963974,0.8627475126
82,0.6750279449,0.3550973507,0.8625932747
83,0.674905964,0.3550310693,0.8626141137
84,0.6749815957,0.3550486624,0.8625019072
85,0.6748865166,0.3549740144,0.8624210342
86,0.6749548614,0.3549901974,0.8623208542
87,0.6748696523,0.3549241148,0.8622518326
88,0.6749314146,0.3549389887,0.8621623647
89,0.6748550333,0.3548804736,0.8621035435
90,0.6749108484,0.3548941338,0.8620236206
91,0.6748423656,0.3548423064,0.8619735723
92,0.6748928071,0.3548548428,0.8619021575
93,0.6748313937,0.3548089271,0.8618596483
94,0.6748769793,0.3548204243,0.8617958199
95,0.6748494366,0.3548000794,0.8617778016
96,0.6748768652,0.3548004451,0.8617117294
97,0.6748246682,0.3547720558,0.861720517
98,0.6748570158,0.3547795628,0.8616724766
99,0.6748162955,0.354747552,0.861637675
100,0.6748455412,0.3547544629,0.8615947662
101,0.6748090347,0.3547261179,0.8615650597
102,0.6748354753,0.3547324743,0.8615267252
103,0.6748027404,0.3547073697,0.8615014053
104,0.6748266445,0.3547132109,0.8614671497
105,0.6747972865,0.3546909711,0.8614456034
106,0.6748188967,0.3546963347,0.8614149858
107,0.6747925627,0.3546766281,0.8613966829
108,0.6748120987,0.3546815493,0.861369311
109,0.6748002859,0.3546728163,0.8613615522
110,0.6748120402,0.3546729622,0.861333197
111,0.6747896567,0.3546607808,0.8613369316
112,0.6748035238,0.3546639944,0.8613163225
113,0.674786054,0.3546502499,0.8613013457
114,0.674798594,0.3546532095,0.8612829349
115,0.6747829296,0.3546410378,0.8612701495
116,0.6747942691,0.3546437607,0.8612536989
117,0.6747802212,0.3546329795,0.8612428005
118,0.6747904746,0.3546354825,0.8612280983
119,0.6747778743,0.3546259307,0.8612188233
120,0.6747871451,0.3546282296,0.861205681
121,0.6747758416,0.3546197652,0.8611978014
122,0.6747842237,0.354621875,0.8611860511
123,0.6747791528,0.3546181238,0.8611827105
124,0.6747841956,0.354618183,0.8611705323
125,0.6747745882,0.3546129521,0.8611721248
126,0.6747805388,0.3546143298,0.861163276
127,0.6747730383,0.3546084251,0.8611568307
128,0.6747784199,0.354609694,0.8611489252
129,0.6747716942,0.3546044648,0.8611434226
130,0.674776561,0.3546056325,0.8611363584
131,0.674770529,0.3546010004,0.8611316675
132,0.67477493,0.3546020739,0.8611253538
133,0.6747695193,0.35459797,0.8611213613
134,0.6747734989,0.3545989561,0.8611157172
135,0.6747686448,0.3545953193,0.8611123252
136,0.6747722431,0.3545962244,0.8611072786
137,0.6747700654,0.3545946126,0.8611058405
138,0.6747722299,0.3545946368,0.8611006083
139,0.6747681046,0.3545923899,0.8611012884
140,0.6747706592,0.3545929808,0.8610974876
141,0.674767438,0.3545904435,0.8610947138
142,0.6747697484,0.3545909878,0.8610913182
143,0.6747668598,0.3545887408,0.8610889499
144,0.6747689493,0.3545892417,0.8610859156
145,0.6747663585,0.3545872513,0.8610838965
146,0.6747682481,0.3545877119,0.8610811845
147,0.6747659242,0.3545859483,0.8610794659
148,0.6747676329,0.3545863715,0.8610770415
149,0.674765548,0.3545848086,0.8610755813
150,0.674767093,0.354585197,0.8610734135
151,0.6747661577,0.3545845044,0.8610727944
152,0.6747670869,0.3545845143,0.8610705461
153,0.6747653153,0.354583549,0.8610708367
154,0.6747664122,0.3545838025,0.861069204
155,0.6747650285,0.3545827121,0.8610680102
156,0.6747660206,0.3545829457,0.8610665515
157,0.6747647798,0.35458198,0.8610655322
158,0.674765677,0.354582195,0.8610642287
159,0.6747645642,0.3545813396,0.8610633597
160,0.6747653756,0.3545815372,0.8610621946
161,0.6747643774,0.3545807794,0.8610614548
162,0.6747651111,0.3545809609,0.8610604133
163,0.6747642156,0.3545802893,0.8610597847
164,0.674764879,0.354580456,0.8610588535
165,0.6747644772,0.3545801583,0.8610585869
166,0.6747648762,0.3545801624,0.8610576208
167,0.6747641153,0.3545797477,0.861057745
168,0.6747645863,0.3545798565,0.8610570436
169,0.674763992,0.3545793878,0.8610565298
170,0.674764418,0.3545794881,0.8610559031
171,0.674763885,0.354579073,0.8610554644
172,0.6747642703,0.3545791653,0.8610549044
173,0.6747637923,0.3545787977,0.8610545304
174,0.6747641407,0.3545788825,0.8610540299
175,0.6747637119,0.3545785568,0.8610537114
176,0.674764027,0.3545786347,0.861053264
177,0.6747636423,0.3545783461,0.8610529934
178,0.6747639272,0.3545784176,0.8610525933
179,0.6747637546,0.3545782897,0.8610524786
