strategy,observations,mean_realized_pnl,var_95,cvar_95,realized_volatility,max_drawdown,sharpe,sortino
mean_reversion,162,-1900.318464848192,-3748.5350819260198,-4256.2775357060655,1143.9882709062774,309458.7260904458,-1.661134570324522,-0.8380934743281476
trend_following,162,781.5716159704438,-2031.9391979322568,-2739.856482428503,1183.2105334909231,6527.126417040672,0.6605516041718366,0.451568891574735
