variant,iteration,message_count,wall_time_s,throughput_msg_s,digest,fill_count,fill_volume,avg_latency_ns,p95_latency_ns,p99_latency_ns,max_latency_ns,matching_avg_ns,message_avg_ns
single,0,20000,1.502607957998407,13310.191719363436,79067c526bee82c945448810817a8e7fba9c91f9e86caf6a7111c44ca11ccba4,4,20.0,0.0,0,0,0,27549.02355,73563.42775
single,1,20000,1.5076002499990864,13266.116133910245,79067c526bee82c945448810817a8e7fba9c91f9e86caf6a7111c44ca11ccba4,4,20.0,0.0,0,0,0,27826.99505,73772.89195
single,2,20000,1.5778784169961,12675.247842020159,79067c526bee82c945448810817a8e7fba9c91f9e86caf6a7111c44ca11ccba4,4,20.0,0.0,0,0,0,28545.8876,77205.6396
concurrent,0,20000,2.7167250839993358,7361.804886991978,79067c526bee82c945448810817a8e7fba9c91f9e86caf6a7111c44ca11ccba4,4,20.0,0.0,0,0,0,33578.41595,
concurrent,1,20000,2.6883380000072066,7439.54071249463,79067c526bee82c945448810817a8e7fba9c91f9e86caf6a7111c44ca11ccba4,4,20.0,0.0,0,0,0,33232.83775,
concurrent,2,20000,2.662140250002267,7512.752192519898,79067c526bee82c945448810817a8e7fba9c91f9e86caf6a7111c44ca11ccba4,4,20.0,0.0,0,0,0,32974.88355,
