bin,pred_quantile,empirical_quantile
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0648341029882431,0.0
8,0.25009894371032715,0.0625
9,0.3723946511745453,0.3115234375
