bin,pred_quantile,empirical_quantile
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.04841373488306999,0.0
8,0.22782638669013977,0.0625
9,0.362140953540802,0.3115234375
